threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.01,2,61,2.52,1.04432,48.3964,120
0.01,2,64,4.74,0.342344,49.9383,120
0.01,2,67,2.7,0.793655,54.2305,120
0.01,2,63,5.04,1.65643,56.872,120
0.01,2,66,0.72,0.248031,72.3742,120
0.01,2,68,3.66,0.817184,73.2512,120
0.01,2,62,3.18,0.417591,74.6661,120
0.01,2,65,6,0.945197,80.1291,120
0.01,2,69,6.6,0.850045,81.1948,120
0.01,4,66,0.075,1.00026,97.9962,120
0.01,4,61,0.2,0.920294,100.904,120
0.01,4,67,3.775,1.04648,106.152,120
0.01,4,69,1.25,0.603161,106.619,120
0.01,4,60,2.45,0.860718,135.652,120
0.01,4,62,2.35,1.08393,141.953,120
0.01,4,64,2.625,1.52514,147.073,120
0.01,4,68,1.625,0.912475,148.356,120
0.01,4,63,3.7,0.59151,148.461,120
0.01,6,63,2.22632,1.08521,154.485,120
0.01,6,65,1.08947,25.2171,154.877,120
0.01,6,67,2.92105,1.16808,156.482,120
0.01,4,65,2.425,1.15354,160.608,120
0.01,6,62,1.16842,1.30985,160.346,120
0.01,8,60,2.784,1.12121,178.99,120
0.01,8,64,1.608,1.35026,180.845,120
0.01,8,65,2.448,1.18054,183.392,120
0.01,8,68,1.056,0.973397,183.388,120
0.01,6,60,2.66842,0.77469,193.147,120
0.01,6,61,2.11579,1.10792,193.542,120
0.01,8,66,2.28,0.905971,197.303,120
0.01,8,62,2.676,0.962701,200.666,120
0.01,6,66,1.32632,1.16864,206.367,120
0.01,8,63,2.364,0.805933,208.983,120
0.01,6,64,1.94211,0.731774,224.002,120
0.01,10,69,1.85625,1.3242,224.036,120
0.01,10,63,2.65312,0.723445,224.081,120
0.01,10,66,1.81875,1.11546,227.187,120
0.01,6,68,2.25789,1.02589,237.94,120
0.01,10,62,1.77187,1.50053,245.86,120
0.01,6,69,1.38947,0.992639,247.138,120
0.01,10,64,1.94063,1.104,246.67,120
0.01,10,61,0.675,16.9194,248.447,120
0.01,8,61,1.464,1.16756,258.507,120
0.01,10,65,1.22812,1.18251,258.794,120
0.01,10,67,1.575,1.21567,260.376,120
0.01,8,69,2.868,1.48321,272.418,120
0.01,13,68,1.16923,1.19528,293.288,120
0.01,13,60,1.29231,1.33489,295.776,120
0.01,8,67,2.844,0.905934,301.315,120
0.01,13,67,1.66154,0.954632,303.198,120
0.01,13,63,2.23077,1.41123,306.343,120
0.01,13,61,1.01538,1.3882,309.747,120
0.01,10,60,2.53125,1.17442,310.109,120
0.01,10,68,1.275,0.821628,365.31,120
0.01,13,66,2.06154,1.56585,367.708,120
0.01,17,66,1.75962,1.10007,376.317,120
0.01,13,62,2.38462,1.06783,395.334,120
0.01,13,65,2.02308,1.20597,396.025,120
0.01,17,67,1.77692,1.42822,399.449,120
0.01,13,64,2.43077,1.36768,402.33,120
0.01,20,63,1.27846,1.22973,428.227,120
0.01,20,62,2.28923,1.56759,436.828,120
0.01,20,66,1.74462,1.98379,441.2,120
0.01,13,69,1.9,1.47758,443.341,120
0.01,17,64,1.35,1.37085,489.602,120
0.01,20,69,2.37231,1.44468,490.037,120
0.01,20,64,1.97077,1.17484,492.257,120
0.01,20,67,1.58769,1.71607,492.427,120
0.01,17,60,2.08269,1.50341,494.232,120
0.01,20,68,1.24154,1.27553,495.326,120
0.01,17,61,1.47115,1.6755,507.529,120
0.01,17,65,1.28654,1.45622,507.963,120
0.01,17,63,2.14615,15.5503,516.997,120
0.01,17,68,1.28654,1.16552,521.204,120
0.01,25,65,1.71266,1.35797,535.106,120
0.01,17,62,2.20962,1.41615,550.85,120
0.01,17,69,1.71346,1.31215,557.318,120
0.01,25,69,1.72025,1.69838,561.388,120
0.01,25,64,1.28354,1.53075,608.994,120
0.01,20,61,0.946154,1.4842,623.393,120
0.01,20,60,2.16923,1.58511,630.435,120
0.01,20,65,1.00615,1.52112,644.469,120
0.01,25,66,1.51519,1.47405,646.809,120
0.01,30,60,1.78485,1.45316,655.518,120
0.01,30,62,1.59091,1.60938,680.391,120
0.01,30,69,1.54242,2.04671,691.005,120
0.01,30,68,1.56667,1.77286,715.327,120
0.01,30,67,1.98485,1.5978,716.326,120
0.01,30,65,1.61818,1.44705,716.956,120
0.01,30,61,1.22424,1.56914,717.152,120
0.01,35,62,2.00625,1.58863,733.673,120
0.01,25,63,1.2,2.08249,736.259,120
0.01,35,68,1.29107,1.95072,736.645,120
0.01,25,60,1.62911,1.49655,743.309,120
0.01,35,66,1.75714,2.08739,768.85,120
0.01,25,62,1.8038,1.59958,801.403,120
0.01,35,69,1.78661,1.84506,801.256,120
0.01,25,67,2.04684,1.70282,803.112,120
0.01,35,65,1.33929,1.66215,808.218,120
0.01,40,60,2.14318,1.71122,852.198,120
0.01,30,66,1.53939,1.46256,871.573,120
0.01,30,63,1.90606,1.8229,891.624,120
0.01,40,66,1.31591,1.78345,901.744,120
0.01,2,60,3.3,0.274567,943.444,120
0.01,35,67,1.75714,1.92098,954.981,120
0.01,35,61,1.74107,1.58554,962.654,120
0.01,35,63,1.9875,1.96171,967.135,120
0.01,25,68,1.24177,1.49473,971.37,120
0.01,35,60,1.67143,1.71581,973.632,120
0.01,40,61,1.39773,1.80409,978.655,120
0.01,30,64,1.69091,1.82644,985.342,120
0.01,35,64,1.73036,1.42799,999.806,120
0.01,25,61,1.20759,1.61268,1027.39,120
0.01,40,67,1.60682,1.84825,1035.2,120
0.01,40,69,1.47955,1.76635,1043.89,120
0.01,40,68,1.45,1.72591,1043.86,120
0.01,40,63,2.02045,1.8043,1046.58,120
0.01,40,64,1.79773,1.73779,1062,120
0.01,40,62,1.91591,1.65288,1071.57,120
0.01,40,65,1.725,1.68348,1075.5,120
