threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,5,2,-9.55758,8.6117,733.987,120
0.01,0.7,9,-0.10303,2.02256,741.655,120
0.01,7,2,-12.3273,4.79545,763.084,120
0.01,1,5,-2.4303,1.67104,776.842,120
0.01,0.1,4,2.12424,1.30139,836.817,120
0.01,7,3,-11,5.90898,844.422,120
0.01,0.7,5,-0.472727,2.47003,866.234,120
0.01,0.3,9,1.62424,1.39836,870.054,120
0.01,0.1,5,2.52424,1.47813,870.77,120
0.01,7,7,-12.8545,7.31715,871.619,120
0.01,0.07,5,2.52424,1.47813,871.586,120
0.01,0.03,2,2.40303,1.44427,873.458,120
0.01,5,6,-10.1667,5.79459,875.795,120
0.01,0.5,3,0.869697,2.35829,875.877,120
0.01,0.1,9,2.33333,1.41197,877.394,120
0.01,5,7,-9.34848,2.50739,878.74,120
0.01,0.7,2,-0.6,1.80665,878.647,120
0.01,0.03,9,2.41818,1.3355,879.253,120
0.01,0.7,3,-0.972727,2.31135,879.302,120
0.01,0.7,7,-1.28485,1.50923,880.203,120
0.01,10,2,-10.8909,7.33779,880.149,120
0.01,0.07,3,2.27273,1.47179,880.689,120
0.01,5,0,-9.75455,4.45998,882.165,120
0.01,1,8,-1.25455,21.1129,883.143,120
0.01,5,5,-9.65758,4.40349,883.921,120
0.01,10,7,-13.197,6.6367,893.933,120
0.01,0.07,0,2.27576,1.24924,893.854,120
0.01,0.3,3,2.03636,1.49607,894.562,120
0.01,0.03,7,2.47879,1.65579,894.793,120
0.01,0.5,9,0.706061,1.85832,896.19,120
0.01,0.3,8,1.5697,23.875,898.434,120
0.01,1,3,-2.93333,3.15079,898.618,120
0.01,0.1,3,2.2303,1.47179,898.766,120
0.01,0.01,6,2.48788,1.5389,899.899,120
0.01,0.1,2,2.31515,1.04393,903.269,120
0.01,0.07,8,2.36667,24.7577,906.538,120
0.01,1,6,-2.30909,1.76868,909.811,120
0.01,10,8,-12.0697,12.3851,911.764,120
0.01,7,4,-12.5061,6.37967,915.513,120
0.01,10,5,-11.5091,5.71381,916.486,120
0.01,0.03,3,2.53636,1.46232,918.534,120
0.01,0.5,5,1.16667,2.04155,922.725,120
0.01,7,5,-11.603,5.16604,923.342,120
0.01,0.01,7,2.47879,1.65579,924.061,120
0.01,0.01,4,2.32424,1.59662,926.985,120
0.01,1,7,-3.47879,2.01842,928.123,120
0.01,0.07,7,2.40909,1.75216,929.968,120
0.01,0.03,8,2.39394,24.7904,938.404,120
0.01,0.1,1,2.27273,1.41259,941.025,120
0.01,0.01,2,2.40303,1.44427,943.099,120
0.01,0.5,8,0.287879,22.9973,943.768,120
0.01,0.03,6,2.45152,1.48218,946.427,120
0.01,10,1,-11.1061,4.68,946.85,120
0.01,0.07,1,2.27273,1.41259,947.167,120
0.01,0.3,5,2.23939,1.5825,950.265,120
0.01,1,9,-2.90606,1.84054,961.531,120
0.01,5,3,-9.38182,7.41297,963.851,120
0.01,0.5,2,0.372727,1.37635,967.212,120
0.01,0.03,0,2.27576,1.24924,968.513,120
0.01,0.1,7,2.40909,1.75216,972.667,120
0.01,3,3,-7.79697,4.37958,988.695,120
0.01,5,9,-10.9061,3.70446,1001.55,120
0.01,3,4,-9.05152,6.54515,1002.1,120
0.01,7,0,-12.4455,3.31092,1004.07,120
0.01,0.7,0,-0.615152,2.31578,1006.75,120
0.01,10,6,-12.3394,4.75716,1007.85,120
0.01,3,5,-5.99091,2.4032,1009.73,120
0.01,0.3,1,1.40909,1.30279,1019.81,120
0.01,1,4,-2.08788,1.8318,1023.8,120
0.01,1,2,-1.32424,1.84608,1025.1,120
0.01,7,1,-11.3182,5.79244,1028.28,120
0.01,0.7,1,-0.2,1.249,1028.74,120
0.01,3,6,-6.48485,6.45067,1032.21,120
0.01,0.5,1,0.381818,2.03232,1032.48,120
0.01,0.7,4,0.0757576,1.70135,1034.02,120
0.01,7,6,-11,4.7469,1040.69,120
0.01,0.3,0,1.89394,1.64725,1041.25,120
0.01,0.01,5,2.52424,1.47813,1046.86,120
0.01,0.03,5,2.52424,1.47813,1049.65,120
0.01,7,9,-10.9303,5.71591,1059.52,120
0.01,0.1,8,2.2303,24.5524,1066.32,120
0.01,0.5,0,0.621212,1.70599,1074.52,120
0.01,0.03,4,2.28485,1.41728,1079.56,120
0.01,0.5,7,-0.0212121,1.80867,1080.96,120
0.01,10,9,-13.7121,4.82054,1083.99,120
0.01,3,2,-6.57576,6.21361,1088.22,120
0.01,0.5,6,0.860606,1.89786,1089.74,120
0.01,0.07,2,2.34545,1.05145,1090.64,120
0.01,0.3,2,1.08182,1.27638,1090.88,120
0.01,0.01,9,2.41818,1.3355,1092.25,120
0.01,5,1,-9.87879,4.87664,1105.02,120
0.01,0.5,4,-0.306061,1.98707,1107.18,120
0.01,0.3,6,1.63939,1.49122,1115.59,120
0.01,10,0,-11.9091,5.54744,1120.83,120
0.01,3,7,-8.77576,4.25576,1134.03,120
0.01,5,4,-10.7455,5.5573,1135.06,120
