threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.01,2,48,3.72,0.272424,46.3261,120
0.01,2,49,4.14,0.259162,55.2957,120
0.01,2,42,3.6,0.283991,57.2236,120
0.01,2,45,1.38,0.333231,58.5628,120
0.01,2,47,4.2,0.112261,67.9308,120
0.01,2,43,2.28,0.248417,75.4008,120
0.01,2,44,2.88,0.563636,76.3076,120
0.01,2,41,3.72,0.360736,82.9053,120
0.01,2,46,2.76,0.267645,83.8417,120
0.01,4,48,2.475,0.699144,100.911,120
0.01,4,41,2,0.460936,111.893,120
0.01,4,45,2.6,0.955828,112.122,120
0.01,4,47,1.45,1.06163,131.486,120
0.01,4,42,3.3,0.919581,131.528,120
0.01,4,44,1.65,0.678379,132.553,120
0.01,6,46,1.57895,1.10405,132.175,120
0.01,4,46,2.625,0.822318,146.688,120
0.01,6,42,3.11053,1.04373,146.755,120
0.01,6,49,1.91053,0.917106,147.309,120
0.01,6,41,1.75263,1.02851,147.776,120
0.01,4,43,2.575,0.563857,148.86,120
0.01,4,40,2.825,0.54115,162.179,120
0.01,6,44,1.18421,0.845072,162.598,120
0.01,6,47,2.47895,0.874465,165.164,120
0.01,6,40,2.47895,0.625028,187.212,120
0.01,8,49,1.272,0.96408,187.477,120
0.01,8,45,1.38,19.2163,200.093,120
0.01,8,48,1.824,1.22568,202.164,120
0.01,8,44,1.572,0.9138,206.424,120
0.01,6,43,1.91053,0.894555,210.809,120
0.01,6,48,2.63684,0.680155,211.253,120
0.01,10,40,2.39062,1.12696,227.607,120
0.01,10,47,1.59375,1.06929,230.886,120
0.01,6,45,2.36842,1.18881,240.719,120
0.01,8,40,2.088,1.33652,242.708,120
0.01,8,47,2.04,1.04932,244.99,120
0.01,10,45,1.95,1.16355,251.978,120
0.01,4,49,1.775,0.920096,253.789,120
0.01,8,43,1.98,0.940411,268.967,120
0.01,10,43,2.12812,1.27233,273.05,120
0.01,13,48,1.67692,1.5212,276.697,120
0.01,13,47,1.89231,1.49048,277.088,120
0.01,13,45,1.73077,1.12176,294.004,120
0.01,8,42,2.364,1.07522,298.409,120
0.01,13,49,1.43077,1.42023,301.393,120
0.01,10,49,2.52187,1.52051,302.433,120
