threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.07,46,2.40606,1.49106,823.261,120
0.01,10,41,-13.8152,4.41053,824.359,120
0.01,1,44,-1.36667,2.16757,826.435,120
0.01,3,46,-8.62121,3.77256,836.306,120
0.01,0.1,44,2.33333,1.53491,836.625,120
0.01,0.7,47,-0.951515,1.86104,837.299,120
0.01,1,48,-3.48485,2.56115,840.469,120
0.01,0.5,40,0.587879,2.17876,842.826,120
0.01,0.1,43,2.20303,1.28094,845.752,120
0.01,0.03,43,2.22727,1.2698,846.802,120
0.01,3,43,-7.52424,4.89903,848.381,120
0.01,5,45,-9.73939,6.0072,849.021,120
0.01,0.1,48,2.22424,1.36834,849.215,120
0.01,10,48,-13.1909,6.70564,850.775,120
0.01,0.03,42,2.37879,1.45171,852.551,120
0.01,0.5,46,0.60303,1.97572,856.251,120
0.01,0.1,45,2.33636,1.35116,858.479,120
0.01,5,46,-8.8303,3.90915,859.073,120
0.01,0.7,42,0.569697,1.67914,861.774,120
0.01,0.01,48,2.29394,1.22228,863.269,120
0.01,0.1,46,2.36061,1.56145,864.223,120
0.01,5,42,-10.4,8.6465,864.327,120
0.01,0.3,41,1.54848,1.29702,866.482,120
0.01,0.5,43,1.1303,2.53322,866.531,120
0.01,0.3,43,1.20606,1.89766,874.177,120
0.01,10,42,-13.4667,8.00253,874.43,120
0.01,10,49,-10.6879,3.75178,874.72,120
0.01,3,47,-6.71818,3.88288,876.086,120
0.01,10,44,-12.1788,4.13282,879.41,120
0.01,0.07,48,2.22424,1.36834,886.729,120
0.01,0.01,42,2.42121,1.29806,887.464,120
0.01,0.03,48,2.29394,1.22228,887.962,120
0.01,0.03,45,2.57576,1.46713,888.928,120
0.01,1,45,-1.94242,2.57898,889.819,120
0.01,0.7,48,-0.0969697,1.2819,890.702,120
0.01,0.7,46,-0.1,2.42583,892.473,120
0.01,0.7,40,-0.19697,2.09701,892.757,120
0.01,0.03,49,2.41515,1.25337,896.5,120
0.01,0.3,49,1.67273,1.19979,896.591,120
0.01,7,42,-12.797,7.38123,897.097,120
0.01,0.7,49,0.115152,1.68539,899.475,120
0.01,10,40,-11.3515,5.62135,905.705,120
0.01,7,43,-14.0727,5.91142,907.187,120
0.01,0.5,45,1.17879,1.49089,907.615,120
0.01,0.5,47,0.587879,2.09044,909.47,120
0.01,0.07,40,2.49091,1.32787,909.718,120
0.01,0.01,49,2.41515,1.25337,911.463,120
0.01,3,45,-8.21818,6.70641,916.326,120
0.01,5,49,-9.27879,8.0218,919.706,120
0.01,0.3,45,2.04545,1.6792,920.486,120
0.01,3,48,-7.27879,2.76274,921.27,120
0.01,0.07,49,2.34242,1.2695,924.39,120
0.01,0.03,41,2.55152,1.35735,929.577,120
0.01,5,44,-9.65455,3.15326,931.033,120
0.01,0.07,41,2.55152,1.35735,933.533,120
0.01,1,41,-1.44242,2.75997,933.833,120
0.01,0.3,46,1.21212,1.61648,934.979,120
0.01,0.5,44,-0.0757576,1.79023,938.609,120
0.01,3,41,-7.05758,1.69398,938.622,120
0.01,0.01,46,2.40606,1.49106,942.137,120
0.01,1,47,-1.96061,2.47849,944.37,120
0.01,0.01,43,2.22727,1.2698,954.623,120
0.01,0.03,46,2.40606,1.49106,960.571,120
0.01,0.3,40,2.02424,1.54082,960.96,120
0.01,0.01,41,2.58485,1.30833,961.513,120
0.01,10,45,-11.9364,2.98052,963.163,120
0.01,7,41,-10.7515,3.30984,963.901,120
0.01,0.7,41,-0.812121,2.5092,975.124,120
0.01,5,48,-10.2606,4.29095,980.202,120
0.01,7,48,-9.26061,4.22563,988.42,120
0.01,0.03,44,2.45455,1.37288,992.462,120
0.01,1,42,-2.08788,1.59693,996.403,120
0.01,0.3,44,1.44242,1.44842,997.157,120
0.01,0.03,40,2.53636,1.35942,997.943,120
0.01,0.01,44,2.45455,1.37288,1000.2,120
0.01,0.1,42,2.26061,1.32772,1003.04,120
0.01,3,40,-8.13939,3.03772,1004.44,120
0.01,0.5,48,0.969697,1.74995,1010.54,120
0.01,0.1,40,2.36667,1.60973,1015.75,120
0.01,0.07,47,2.41515,1.53635,1016.74,120
0.01,1,46,-1.85152,2.46803,1020.33,120
0.01,0.03,47,2.50606,1.33947,1023.58,120
0.01,0.3,48,1.52424,1.44014,1033.16,120
0.01,0.1,41,2.55152,1.35735,1049.28,120
0.01,0.7,43,-0.69697,1.86066,1062.28,120
0.01,10,47,-12.2394,6.00921,1073.19,120
0.01,7,49,-11.9,6.81274,1079.09,120
0.01,3,44,-5.39394,5.14989,1080.23,120
0.01,7,45,-11.503,6.07627,1080.43,120
0.01,10,43,-13.5667,7.29335,1088.27,120
0.01,3,42,-5.91515,7.91357,1092.27,120
0.01,1,49,-2.43939,1.79694,1092.94,120
0.01,0.07,43,2.20303,1.28094,1094.6,120
0.01,1,40,-2.39091,2.55665,1095.11,120
0.01,0.5,49,0.481818,1.50924,1105.12,120
0.01,0.5,41,1.1697,1.63622,1106.06,120
0.01,0.5,42,1.09394,1.5778,1107.87,120
0.01,5,40,-10.5636,3.89256,1110.39,120
0.01,0.01,47,2.53939,1.33947,1110.73,120
0.01,7,44,-10.7909,6.27575,1111.67,120
0.01,7,47,-12.6788,3.72745,1112.01,120
0.01,0.07,44,2.40909,1.50855,1117.31,120
0.01,0.7,44,0.115152,2.73675,1117.27,120
0.01,7,46,-11.9394,3.97886,1119.04,120
0.01,0.7,45,0.0151515,2.08897,1120.01,120
0.01,0.01,45,2.57576,1.46713,1128.48,120
0.01,10,46,-11.6697,7.4814,1130.63,120
0.01,5,47,-8.96667,4.74769,1131.74,120
0.01,5,43,-10.9333,7.28207,1141.06,120
0.01,0.1,47,2.24848,1.48323,1144.95,120
0.01,0.1,49,2.30909,1.26661,1147.88,120
0.01,7,40,-11.1909,7.14896,1149.25,120
0.01,5,41,-10.2455,3.634,1149.23,120
0.01,3,49,-5.5697,5.20843,1153.75,120
0.01,0.07,42,2.26061,1.32772,1154.13,120
0.01,0.07,45,2.46667,1.47861,1168.1,120
0.01,1,43,-2.17273,2.69185,1176.6,120
0.01,0.3,42,1.58485,1.70006,1263.12,120
0.01,0.3,47,1.89091,1.43193,1263.25,120
0.01,0.01,40,2.53636,1.35942,1539.77,120
