threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.01,2,32,1.5,0.49688,49.8759,120
0.01,2,39,4.62,0.945663,58.1249,120
0.01,2,31,5.88,0.190993,58.7475,120
0.01,2,37,1.98,0.74853,62.1509,120
0.01,2,34,1.98,0.726111,71.4228,120
0.01,2,36,2.82,0.652218,75.2472,120
0.01,2,38,3.96,0.863482,78.0228,120
0.01,2,35,5.1,0.695936,79.6496,120
0.01,2,33,2.04,0.694197,86.6288,120
0.01,4,31,2.25,0.93992,99.3074,120
0.01,4,34,2.875,0.978756,104.197,120
0.01,4,35,3.05,0.992152,105.088,120
0.01,4,36,1.675,0.837773,118.605,120
0.01,4,33,2.425,0.852703,146.943,120
0.01,4,38,2.475,0.95335,148.895,120
0.01,4,39,2.15,0.657503,153.311,120
0.01,6,34,2.38421,0.901709,153.666,120
0.01,4,37,3.4,0.947857,154.981,120
0.01,6,39,3.86842,1.21575,165.47,120
0.01,6,38,1.81579,1.12436,165.871,120
0.01,6,35,2.47895,1.13204,166.023,120
0.01,4,30,2.7,0.650514,169.752,120
0.01,6,32,1.46842,1.13956,172.204,120
0.01,6,36,1.40526,0.961123,184.77,120
0.01,4,32,1.35,1.12346,193.545,120
0.01,8,30,1.368,0.650785,194.061,120
0.01,6,37,1.38947,0.912313,199.607,120
0.01,8,36,1.98,1.29744,207.959,120
0.01,8,37,1.62,1.21734,210.36,120
0.01,6,30,1.61053,0.833334,215.485,120
0.01,6,31,2.73158,0.702251,216.824,120
0.01,8,38,2.556,1.35991,219.682,120
0.01,8,34,1.704,1.05705,220.181,120
0.01,10,35,1.77187,18.2314,241.303,120
0.01,6,33,1.12105,0.689956,247.017,120
0.01,8,39,2.28,1.07914,254.758,120
0.01,10,32,1.9875,0.91614,256.606,120
0.01,10,30,2.37187,1.38192,257.302,120
0.01,8,32,1.572,1.0984,258.542,120
0.01,8,31,1.392,0.910642,258.602,120
0.01,8,33,2.4,1.00482,267.206,120
0.01,10,34,1.51875,1.31667,267.22,120
0.01,8,35,3.324,1.16171,270.255,120
0.01,13,37,1.69231,1.17077,277.433,120
0.01,10,36,1.66875,1.18057,284.682,120
0.01,13,30,2.51538,1.06748,286.965,120
0.01,13,31,1.82308,1.43643,289.354,120
0.01,13,33,0.961538,1.40861,307.904,120
0.01,13,35,2.61538,1.1991,308.282,120
0.01,10,37,1.69687,1.14798,316.768,120
0.01,10,38,2.22187,0.953391,336.19,120
0.01,10,31,0.975,1.01531,336.506,120
0.01,10,39,1.88437,1.27098,355.347,120
0.01,17,39,2.175,1.00396,371.632,120
0.01,10,33,1.9875,1.05699,378.893,120
0.01,17,38,1.62115,1.43769,378.909,120
0.01,13,36,1.92308,0.914234,394.399,120
0.01,17,31,1.29808,1.08773,394.646,120
0.01,13,38,1.83077,1.22594,396.458,120
0.01,13,39,1.86154,1.34841,417.087,120
0.01,17,37,1.59231,1.25511,419.632,120
0.01,13,34,1.16923,1.32958,420.444,120
0.01,20,37,0.853846,1.73301,439.439,120
0.01,20,30,1.74,1.40336,455.514,120
0.01,20,31,1.56462,1.35661,461.282,120
0.01,17,32,2.11731,0.987914,478.358,120
0.01,17,30,2.10577,1.7198,480.942,120
0.01,20,32,2.34462,1.30531,499.471,120
0.01,17,36,0.784615,1.17569,512.116,120
0.01,2,30,3.9,0.800127,515.165,120
0.01,17,33,1.29231,1.32093,513.693,120
0.01,13,32,1.51538,1.0413,517.411,120
0.01,20,39,2.16462,1.2794,516.825,120
0.01,17,34,1.43077,1.44038,518.084,120
0.01,17,35,1.75962,1.18583,521.643,120
0.01,25,39,1.51519,1.16148,526.722,120
0.01,25,36,1.46203,1.47606,530.441,120
0.01,25,31,1.17722,1.56564,532.166,120
0.01,25,34,1.31013,1.30831,536.155,120
0.01,25,35,1.6481,1.96682,536.506,120
0.01,25,33,1.76582,1.7743,542.7,120
0.01,20,35,2.20154,1.36803,547.7,120
0.01,25,38,1.30253,2.05715,557.606,120
0.01,20,38,1.62,1.45397,561.173,120
0.01,20,33,1.93385,1.67004,562.446,120
0.01,20,36,1.91538,1.16914,568.079,120
0.01,25,30,2.06203,1.30426,595.415,120
0.01,30,38,1.26061,1.64252,599.599,120
0.01,30,30,2.13939,1.33978,601.934,120
0.01,30,32,1.86364,1.69863,602.828,120
0.01,30,35,1.41818,1.7711,603.823,120
0.01,20,34,1.96615,1.52796,606.949,120
0.01,30,34,1.23939,1.21514,612.079,120
0.01,25,37,1.68608,1.30045,617.831,120
0.01,30,37,1.45152,1.49824,623.977,120
0.01,30,39,1.55758,1.8747,626.108,120
