threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,1,86,-2.64848,2.33672,766.237,120
0.01,7,84,-12.8455,2.7124,831.616,120
0.01,0.1,83,2.52727,1.58071,844.832,120
0.01,0.3,84,1.67273,1.65485,853.951,120
0.01,0.3,86,1.37273,1.54871,867.169,120
0.01,5,84,-9.19394,3.67199,867.395,120
0.01,10,89,-11.4636,7.58802,875.968,120
0.01,0.07,89,2.51212,1.41111,876.095,120
0.01,0.3,89,1.72424,1.46424,885.195,120
0.01,0.7,88,-0.390909,2.48666,886.231,120
0.01,1,83,-2.36364,2.48071,886.438,120
0.01,0.07,84,2.44242,1.34302,886.779,120
0.01,0.03,80,2.3697,1.39953,886.709,120
0.01,0.5,85,0.893939,1.3094,887.661,120
0.01,0.03,85,2.44545,1.47293,888.517,120
0.01,5,82,-10.3485,7.72823,892.848,120
0.01,0.7,80,0.0575758,1.47019,894.953,120
0.01,10,84,-13.5909,8.83489,895.233,120
0.01,0.03,84,2.49394,1.28339,895.311,120
0.01,10,85,-12.6455,6.9996,897.164,120
0.01,0.1,89,2.51212,1.41111,898.004,120
0.01,0.03,87,2.50606,1.39663,898.668,120
0.01,0.5,89,1.42121,1.63748,901.656,120
0.01,0.07,85,2.40606,1.47293,905.464,120
0.01,0.01,89,2.59697,1.53173,908.076,120
0.01,0.07,81,2.33939,1.34125,912.595,120
0.01,10,81,-12.4424,5.0433,913.94,120
0.01,3,81,-6.55758,7.63252,915.152,120
0.01,10,82,-12.4303,5.89927,922.008,120
0.01,0.1,87,2.46061,1.52339,923.359,120
0.01,0.7,83,-0.824242,1.73847,927.429,120
0.01,0.03,89,2.59697,1.53173,928.792,120
0.01,1,80,-1.26667,2.1159,929.578,120
0.01,0.01,82,2.31212,1.25147,934.185,120
0.01,0.03,81,2.33939,1.34125,934.67,120
0.01,3,84,-6.96667,3.78599,942.721,120
0.01,7,85,-12.2758,2.85322,942.94,120
0.01,0.07,80,2.27576,1.58708,957.58,120
0.01,0.5,84,0.715152,2.14105,967.371,120
0.01,0.1,84,2.44242,1.34302,970.492,120
0.01,5,83,-10.0152,3.74096,973.548,120
0.01,0.5,83,0.881818,1.94159,974.047,120
0.01,7,89,-11.3455,3.07476,980.706,120
0.01,0.7,81,-0.0272727,2.02865,981.345,120
0.01,1,88,-0.536364,1.57438,984.23,120
0.01,0.3,88,1.91212,1.26235,985.099,120
0.01,7,88,-9.97576,3.98613,988.248,120
0.01,0.1,81,2.33939,1.34125,989.514,120
0.01,0.03,86,2.48485,1.44687,990.69,120
0.01,7,81,-9.63333,7.08608,994.031,120
0.01,10,80,-12.2606,5.48684,994.506,120
0.01,0.01,84,2.49394,1.28339,998.643,120
0.01,7,82,-11.2333,8.12134,1002.63,120
0.01,1,81,-1.9303,2.80008,1004.85,120
0.01,3,89,-7.59394,4.27059,1005.22,120
0.01,0.01,87,2.50606,1.39663,1009.17,120
0.01,3,88,-6.68485,7.75634,1017.14,120
0.01,7,80,-11.6,5.64462,1021.44,120
0.01,0.07,87,2.50606,1.39663,1023.28,120
0.01,5,86,-10.5788,4.42356,1027,120
0.01,0.5,86,0.527273,1.93388,1029.17,120
0.01,1,84,-1.51212,2.07788,1031.02,120
0.01,0.07,83,2.58182,1.45353,1033.54,120
0.01,0.03,82,2.31212,1.25147,1036.72,120
0.01,0.3,81,1.26667,2.19268,1037.32,120
0.01,0.7,86,-1.18424e-15,3.44382,1041.51,120
0.01,0.7,85,-0.221212,1.61021,1041.5,120
0.01,0.01,81,2.33939,1.34125,1041.85,120
0.01,0.3,85,1.3303,1.68437,1042.55,120
0.01,1,82,-2.05152,2.49178,1042.32,120
0.01,10,88,-11.303,7.41571,1046.97,120
0.01,1,87,-2.03636,1.9783,1050.61,120
0.01,5,81,-9.1,4.8494,1050.86,120
0.01,0.1,85,2.35758,1.75138,1051.85,120
0.01,0.03,83,2.54242,1.3299,1053.79,120
0.01,5,85,-7.90909,6.62377,1055.7,120
0.01,5,88,-8.32121,2.35389,1057.12,120
0.01,7,86,-10.2515,4.63994,1057.98,120
0.01,10,86,-13.3727,10.0685,1058.62,120
0.01,0.01,85,2.44545,1.47293,1060.76,120
0.01,0.3,87,1.66364,1.57165,1061.89,120
0.01,1,89,-2.46667,1.99902,1062.26,120
