threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.01,2,82,4.74,0.300976,52.841,120
0.01,2,86,2.64,0.52441,56.6738,120
0.01,2,83,3.42,0.418804,57.1031,120
0.01,2,89,2.88,0.35833,57.5504,120
0.01,2,87,3.78,0.358096,61.5084,120
0.01,2,84,5.16,0.608866,73.3501,120
0.01,2,85,2.94,1.21947,76.306,120
0.01,2,88,4.32,0.359863,92.2384,120
0.01,2,81,3.06,0.574813,92.6954,120
0.01,4,86,1.675,0.718148,110.066,120
0.01,4,80,2.675,0.553044,110.314,120
0.01,4,82,1.6,0.657995,111.51,120
0.01,4,83,2.925,2.65287,118.676,120
0.01,4,88,2.175,0.639049,119.621,120
0.01,4,87,2.775,1.61711,125.258,120
0.01,4,85,1.45,0.533516,126.26,120
0.01,4,84,2.65,0.584542,138.886,120
0.01,6,83,0.915789,1.25247,158.825,120
0.01,4,89,1.35,0.883189,165.696,120
0.01,6,87,1.07368,0.913087,174.99,120
0.01,6,85,1.2,0.735628,176.452,120
0.01,8,89,2.064,1.02821,189.53,120
0.01,8,85,1.428,0.982348,201.318,120
0.01,8,86,1.608,1.21966,204.132,120
0.01,6,88,1.84737,0.943979,206.192,120
0.01,6,84,2.90526,0.644288,209.49,120
0.01,8,87,2.352,1.0752,209.332,120
0.01,6,86,2.36842,1.07049,210.5,120
0.01,6,82,0.789474,1.0994,213.534,120
0.01,8,80,2.184,1.16566,224.874,120
0.01,8,82,2.16,0.896365,230.889,120
0.01,10,89,1.00312,1.17831,233.506,120
0.01,6,81,3.22105,1.28781,236.352,120
0.01,6,80,1.91053,1.29058,240.299,120
0.01,6,89,1.16842,1.17171,243.898,120
0.01,4,81,2.1,0.515328,254.809,120
0.01,10,88,2.4375,0.998225,254.42,120
0.01,10,86,2.325,1.18536,257.625,120
0.01,8,88,2.28,1.04751,278.351,120
0.01,8,84,2.412,1.10048,280.981,120
0.01,10,81,2.75625,0.848667,281.921,120
0.01,10,80,2.53125,0.730605,284.338,120
0.01,13,86,1.93846,1.53092,299.404,120
0.01,13,84,2.12308,0.733062,303.504,120
0.01,13,83,2.06923,1.73594,304.704,120
0.01,8,83,2.292,0.896423,317.559,120
0.01,13,87,1.45385,1.04407,322.354,120
0.01,10,82,0.815625,1.58363,324.308,120
0.01,13,85,1.37692,1.1725,332.869,120
0.01,8,81,2.7,1.3815,334.559,120
0.01,10,85,2.0625,1.4398,342.603,120
0.01,10,84,2.69062,1.36089,352.159,120
0.01,10,87,2.2875,1.05887,366.927,120
0.01,17,83,1.39038,1.47274,371.828,120
0.01,13,81,2.07692,1.45604,412.385,120
0.01,10,83,1.86562,0.941462,414.169,120
0.01,17,85,1.36154,1.63997,419.223,120
0.01,13,80,1.49231,1.22573,435.188,120
0.01,17,86,1.62692,1.25745,438.326,120
0.01,17,82,1.59231,1.69261,440.248,120
0.01,13,89,2.02308,1.03277,449.523,120
0.01,13,88,1.97692,1.29346,461.914,120
0.01,20,82,1.09846,1.34668,472.938,120
0.01,13,82,1.66923,1.42791,485.626,120
0.01,17,89,1.91538,1.47573,513.133,120
0.01,17,87,2.36538,1.44538,516.826,120
0.01,20,86,2.23385,23.2547,522.245,120
0.01,17,80,2.25577,1.36784,525.518,120
0.01,20,81,1.74462,2.04352,527.939,120
0.01,20,83,1.11692,1.11473,539.349,120
0.01,25,81,1.46962,1.51145,543.212,120
0.01,20,89,1.69846,1.29529,552.236,120
0.01,25,88,1.57975,1.66018,554.617,120
0.01,25,84,1.6557,1.40792,564.256,120
0.01,25,85,1.91772,1.50538,571.09,120
0.01,17,88,2.43462,1.2685,594.6,120
0.01,17,81,2.26154,1.3303,597.434,120
0.01,17,84,1.84615,1.42359,615.951,120
0.01,20,87,2.00769,1.30292,623.852,120
0.01,20,85,1.74,1.48232,637.412,120
0.01,25,80,2.31266,1.2026,651.052,120
0.01,30,85,1.61818,1.66757,658.428,120
0.01,30,89,1.09091,2.17061,685.014,120
0.01,30,80,1.60909,1.49146,698.635,120
0.01,20,84,2.52,1.31907,711.495,120
0.01,20,88,1.86462,1.14565,717.636,120
0.01,30,82,0.70303,1.70928,719.921,120
0.01,20,80,2.29385,1.35876,727.565,120
0.01,30,88,1.63333,1.79914,755.739,120
0.01,25,89,1.29873,1.52161,760.483,120
0.01,35,87,2.16161,1.60631,785.599,120
0.01,30,86,1.67576,1.68236,790.323,120
0.01,2,80,2.22,0.898062,855.046,120
0.01,25,86,1.61013,1.70596,857.65,120
0.01,25,83,1.69747,1.59547,857.977,120
0.01,25,87,2.06582,1.45247,859.49,120
