threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.01,28,2.52424,1.26306,802.977,120
0.01,0.3,27,1.69091,1.48782,804.015,120
0.01,0.7,21,-0.387879,2.09843,809.385,120
0.01,0.07,20,2.24545,1.23828,809.465,120
0.01,5,27,-11.3424,3.9682,811.606,120
0.01,1,22,-3.40606,2.29996,814.441,120
0.01,0.5,23,0.0363636,1.69916,826.259,120
0.01,5,23,-12.1242,7.49034,857.196,120
0.01,10,21,-12.897,4.91468,864.034,120
0.01,0.5,28,0.384848,1.89346,866.189,120
0.01,7,26,-12.003,6.71951,870.793,120
0.01,0.1,25,2.2697,1.46163,893.326,120
0.01,7,25,-11.5758,5.04394,894.47,120
0.01,7,23,-11.9758,3.05974,905.894,120
0.01,10,27,-12.2303,4.88188,911.257,120
0.01,0.5,25,0.19697,1.72826,914.009,120
0.01,0.1,21,2.40909,1.20905,917.591,120
0.01,0.7,25,-1.11212,1.92807,918.747,120
0.01,0.1,20,2.20909,1.38464,920.133,120
0.01,7,24,-13.4303,3.8174,927.961,120
0.01,0.1,28,2.47576,1.28962,929.199,120
0.01,0.7,26,-0.445455,1.46667,950.254,120
0.01,0.07,26,2.37273,1.60021,956.528,120
0.01,3,27,-7.97273,5.89912,956.784,120
0.01,0.07,29,2.35455,1.66937,957.965,120
0.01,0.01,27,2.35455,1.2652,958.932,120
0.01,0.5,21,0.681818,1.44205,960.21,120
0.01,0.03,24,2.4697,1.4835,963.722,120
0.01,7,20,-12.3394,6.18693,966.621,120
0.01,10,20,-12.9394,8.22902,970.102,120
0.01,3,26,-6.9,1.35763,980.327,120
0.01,5,25,-10.0182,5.94735,983.258,120
0.01,0.5,26,0.709091,3.01075,987.375,120
0.01,0.5,20,0.809091,1.91023,988.558,120
0.01,0.7,27,-0.206061,2.21587,990.414,120
0.01,1,21,-2.60909,2.83606,993.244,120
0.01,0.01,29,2.43636,1.57035,993.357,120
0.01,3,22,-8.39697,5.76289,996.119,120
0.01,5,26,-11.0818,7.06797,1004.99,120
0.01,0.01,22,2.49697,1.33143,1005.25,120
0.01,0.01,24,2.4697,1.4835,1005.21,120
0.01,0.7,20,-0.0787879,1.90188,1005.57,120
0.01,0.01,26,2.41818,1.36276,1009.44,120
0.01,0.1,23,2.38182,1.06606,1011.14,120
0.01,0.07,25,2.31515,1.46163,1012.25,120
0.01,0.3,25,1.50606,1.53788,1013.88,120
0.01,1,28,-1.41818,2.29398,1017.78,120
0.01,0.3,22,2.00606,1.85999,1017.72,120
0.01,0.1,22,2.37576,1.30352,1022.9,120
0.01,0.03,27,2.35455,1.2652,1026.92,120
0.01,10,24,-12.0606,3.24212,1035.45,120
0.01,7,29,-10.2242,7.89562,1036.05,120
0.01,0.3,26,1.85455,1.6725,1041.22,120
0.01,0.7,22,0.533333,1.60089,1044.61,120
0.01,0.3,29,1.49091,1.85869,1049.61,120
0.01,0.01,21,2.40909,1.20905,1051.36,120
0.01,0.01,23,2.38182,1.06606,1052.35,120
0.01,5,20,-9.83333,5.92359,1052.14,120
0.01,3,25,-8.39091,3.40604,1054.92,120
0.01,10,29,-13.1182,7.99604,1055.71,120
0.01,0.5,27,1.07879,1.58583,1057.49,120
0.01,10,26,-12.0727,6.57023,1059.34,120
0.01,0.7,24,0.227273,2.42669,1064.27,120
0.01,1,29,-1.95152,3.44873,1064.62,120
0.01,1,25,-2.47273,1.36257,1066.95,120
0.01,1,27,-2.33333,2.14116,1067.2,120
0.01,0.5,24,0.369697,1.57758,1067.44,120
0.01,0.5,22,0.569697,2.31524,1073.44,120
0.01,1,24,-1.61515,3.04564,1075.47,120
0.01,0.1,27,2.1303,1.39527,1075.76,120
0.01,5,21,-10.8303,6.35372,1076.24,120
0.01,0.07,21,2.40909,1.20905,1076.38,120
