threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.7,76,0.163636,1.77752,857.776,120
0.01,1,72,-1.83939,3.81425,864.972,120
0.01,10,77,-11.2242,5.68192,869.638,120
0.01,3,75,-9.27273,5.00257,870.459,120
0.01,0.3,72,1.89394,1.90574,890.614,120
0.01,0.5,74,0.209091,1.94991,902.846,120
0.01,0.03,74,2.36364,1.67196,904.074,120
0.01,1,79,-1.59394,3.12049,906.942,120
0.01,0.1,74,2.27576,1.66081,907.745,120
0.01,3,79,-9.06061,5.22888,909.378,120
0.01,0.1,73,2.26061,1.35696,910.042,120
0.01,7,73,-12.2182,3.49277,913.132,120
0.01,0.5,72,1.26061,3.21415,914.745,120
0.01,0.7,77,-0.187879,2.39086,914.414,120
0.01,0.01,72,2.59394,1.50871,915.743,120
0.01,7,71,-12.1879,6.69378,926.86,120
0.01,0.3,79,1.62727,1.50886,927.217,120
0.01,3,77,-7.59394,2.87234,927.755,120
0.01,10,74,-13.4394,7.88484,931.265,120
0.01,0.1,72,2.55455,1.50871,932.536,120
0.01,5,76,-9.9303,4.69016,932.342,120
0.01,0.01,77,2.55152,1.5286,933.708,120
0.01,0.03,71,2.54242,1.49023,933.765,120
0.01,10,79,-12.1909,4.47473,934.025,120
0.01,0.1,79,2.28485,1.36514,934.393,120
0.01,5,74,-9.7303,5.04039,935.209,120
0.01,1,75,-1.44242,1.92605,937.245,120
0.01,0.3,77,2.04545,1.26231,940.076,120
0.01,7,72,-11.4727,3.65314,940.802,120
0.01,1,74,-1.95758,2.46172,942.008,120
0.01,0.3,78,1.79697,1.43534,942.668,120
0.01,0.07,75,2.40303,1.39361,943.583,120
0.01,0.3,70,1.63636,1.59377,948.259,120
0.01,0.5,79,0.990909,1.8859,948.736,120
0.01,7,76,-9.58182,4.6079,950.145,120
0.01,0.01,71,2.54242,1.49023,950.483,120
0.01,5,71,-11.0848,5.86086,954.555,120
0.01,7,78,-12.3,5.82178,955.647,120
0.01,7,79,-10.0091,7.21209,956.777,120
0.01,1,77,-1.99697,2.55982,957.519,120
0.01,10,76,-12.0727,7.27788,958.446,120
0.01,3,72,-8.27576,4.83343,958.858,120
0.01,0.5,78,0.966667,2.01423,960.45,120
0.01,0.07,74,2.31818,1.66081,961.216,120
0.01,0.03,78,2.54545,1.58293,964.735,120
0.01,7,77,-9.80303,7.81697,965.23,120
0.01,0.03,70,2.48182,1.71484,968.617,120
0.01,0.3,75,2.36364,1.36028,969.9,120
0.01,0.7,74,-0.309091,1.60742,970.136,120
0.01,0.5,70,0.978788,1.28867,971.035,120
0.01,0.01,75,2.40303,1.39361,974.467,120
0.01,0.3,73,1.59697,1.52019,975.67,120
0.01,3,78,-8.58485,5.11527,977.192,120
0.01,0.1,71,2.37576,1.47228,980.651,120
0.01,3,71,-9.12121,5.84314,982.25,120
0.01,0.5,76,1.43939,1.65392,983.632,120
0.01,3,73,-8.7697,2.30881,985.191,120
0.01,0.03,77,2.55152,1.5286,984.768,120
0.01,0.01,76,2.5,2.30658,987.492,120
0.01,0.01,74,2.4303,1.46899,988.786,120
0.01,0.7,78,-0.906061,1.35242,993.212,120
0.01,0.1,76,2.44848,2.23192,993.372,120
0.01,3,76,-8.53939,6.88066,995.293,120
0.01,0.03,75,2.40303,1.39361,998.037,120
0.01,0.07,73,2.26061,1.35696,1002.7,120
0.01,0.07,77,2.59697,1.58448,1003,120
0.01,0.07,72,2.59394,1.50871,1008,120
0.01,3,70,-7.7697,2.88572,1031.43,120
0.01,5,77,-8.22424,3.93985,1043.97,120
0.01,0.07,78,2.35455,1.54127,1043.97,120
0.01,5,72,-9.03636,10.1273,1044.03,120
0.01,0.3,76,1.97576,2.03955,1048.88,120
0.01,10,71,-11.603,4.75202,1054.53,120
0.01,0.1,75,2.40303,1.39361,1055.06,120
0.01,0.03,72,2.6303,1.52232,1058.7,120
0.01,0.01,73,2.26061,1.35696,1060.53,120
0.01,7,74,-10.803,4.95908,1063.09,120
0.01,0.7,73,0.381818,2.35843,1066.41,120
0.01,3,74,-8.18485,5.34927,1066.53,120
0.01,0.3,74,1.71212,1.29099,1068.91,120
0.01,0.1,77,2.59697,1.58448,1071.15,120
0.01,0.7,72,0.190909,2.10991,1074.92,120
0.01,5,75,-9.83636,5.02036,1077.85,120
0.01,0.7,75,0.284848,1.89916,1079.23,120
0.01,1,73,-2.24242,2.07101,1081.23,120
0.01,5,78,-11.3182,2.90651,1082.11,120
0.01,0.5,73,0.248485,2.23166,1082.96,120
0.01,0.7,79,-0.757576,2.50086,1083.7,120
0.01,5,73,-9.82121,4.96181,1084.21,120
0.01,7,70,-10.9424,6.16611,1088.25,120
0.01,0.7,71,-0.242424,1.58683,1090.55,120
0.01,1,76,-1.90303,2.20719,1090.88,120
0.01,0.1,70,2.34242,1.28665,1091.25,120
0.01,1,71,-2.61515,2.79985,1092.3,120
0.01,0.07,76,2.44848,2.23192,1093.82,120
0.01,0.5,75,0.712121,1.70541,1095.81,120
0.01,0.7,70,-0.112121,2.64713,1096.58,120
0.01,0.3,71,1.78182,1.66705,1099.74,120
0.01,10,70,-11.397,3.73193,1099.65,120
0.01,10,75,-12.0667,10.0138,1109.47,120
0.01,0.03,73,2.26061,1.35696,1115.9,120
