threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.1,2,41,-10.02,0.262628,49.907,120
0.1,2,45,-11.28,1.01756,52.8903,120
0.1,2,49,-10.08,0.943318,54.9105,120
0.1,2,48,-10.5,0.536956,55.9704,120
0.1,2,46,-10.74,0.831131,59.4685,120
0.1,2,42,-9.78,0.47501,59.6268,120
0.1,2,44,-10.92,0.268648,71.9248,120
0.1,2,47,-10.08,0.320904,79.3559,120
0.1,2,43,-11.52,0.360132,79.4858,120
0.1,4,49,-11.6,0.913355,112.57,120
0.1,4,47,-12.075,0.82043,119.846,120
0.1,4,42,-9.9,0.861452,120.27,120
0.1,4,43,-11.275,0.472808,141.241,120
0.1,4,46,-9.875,0.965927,140.927,120
0.1,6,47,-10.8316,0.789978,140.598,120
0.1,6,41,-11.4474,0.929401,146.494,120
0.1,6,42,-9.99474,1.126,146.598,120
0.1,4,48,-11.475,0.412762,152.253,120
0.1,4,40,-10.3,1.00682,153.135,120
0.1,4,45,-10.5,0.749109,155.971,120
0.1,4,41,-11.225,0.897759,157.925,120
0.1,6,44,-11.5263,0.838847,158.665,120
0.1,6,45,-10.1842,0.747057,168.912,120
0.1,6,48,-10.4842,0.872997,177.419,120
0.1,8,42,-11.04,1.30053,177.141,120
0.1,4,44,-11.3,0.881878,185.818,120
0.1,8,44,-11.268,0.921494,196.937,120
0.1,8,47,-10.716,1.15987,198.06,120
0.1,8,49,-11.868,1.23828,198.904,120
0.1,6,40,-10.3737,1.16,205.46,120
0.1,8,40,-10.728,0.802007,210.078,120
0.1,8,48,-11.04,0.965607,211.281,120
0.1,8,41,-10.608,1.10881,214.349,120
0.1,8,45,-11.268,6.62858,222.855,120
0.1,6,49,-10.8789,0.945216,224.402,120
0.1,6,43,-10.9737,1.20714,226.409,120
0.1,10,43,-10.8938,1.25768,238.325,120
0.1,10,44,-11.5594,1.45687,247.181,120
0.1,8,43,-11.184,0.841353,256.935,120
0.1,10,45,-11.3063,1.0714,265.627,120
0.1,10,46,-11.3813,1.37997,275.668,120
0.1,10,47,-11.4,1.10513,276.245,120
0.1,6,46,-11.2263,0.86718,288.034,120
0.1,13,42,-10.5923,0.939462,291.313,120
0.1,13,48,-10.9231,1.13064,293.677,120
0.1,13,41,-11.4615,1.34366,310.456,120
0.1,13,43,-10.9769,17.3414,314.407,120
0.1,13,47,-10.7846,1.07667,314.669,120
0.1,13,40,-10.6923,1.15559,317.264,120
0.1,10,48,-11.0438,1.05809,319.581,120
0.1,10,41,-10.8656,1.33644,326.022,120
0.1,10,49,-10.5844,1.40785,347.66,120
0.1,10,42,-10.8375,1.09046,350.413,120
0.1,8,46,-11.316,0.969892,360.96,120
0.1,10,40,-10.9125,1.2598,362.545,120
0.1,17,42,-10.7538,1.55607,379.593,120
0.1,13,45,-10.8692,0.936761,381.448,120
0.1,13,44,-10.9615,1.18818,389.306,120
0.1,2,40,-10.98,0.565702,410.81,120
0.1,13,46,-11.4308,1.195,413.598,120
0.1,17,46,-10.8865,1.21707,417.397,120
0.1,17,44,-11.2327,1.33738,417.814,120
0.1,17,45,-10.8923,1.49659,418.552,120
0.1,17,43,-10.3615,1.35541,421.687,120
0.1,13,49,-11.2846,1.32531,431.443,120
0.1,17,41,-11.1231,1.29417,431.647,120
0.1,20,41,-10.8554,1.21749,436.859,120
0.1,17,47,-10.6962,1.30345,440.87,120
0.1,17,49,-11.7808,1.33545,442.248,120
0.1,20,49,-11.3262,1.40517,448.334,120
0.1,17,48,-10.5808,1.5422,460.382,120
0.1,20,44,-11.3723,0.97627,461.698,120
0.1,17,40,-11.4462,1.29466,477.103,120
0.1,25,49,-11.119,1.40592,477.76,120
0.1,20,47,-10.8,1.44716,483.489,120
0.1,20,40,-11.1923,1.30191,487.747,120
0.1,20,42,-11.1046,1.42417,495.458,120
0.1,20,48,-10.9246,1.87901,497.818,120
0.1,20,45,-10.1354,1.32131,498.013,120
0.1,20,43,-11.5477,1.21811,516.345,120
0.1,20,46,-11.0585,1.18567,519.887,120
0.1,30,42,-10.8485,1.43014,530.467,120
0.1,25,40,-10.7127,1.38466,533.447,120
0.1,25,45,-11.0089,1.78422,543.355,120
0.1,30,44,-11.0485,2.3784,551.458,120
0.1,30,48,-11.0667,1.58391,551.604,120
0.1,25,47,-10.9443,1.59913,553.118,120
0.1,25,43,-11.3924,1.12716,553.284,120
0.1,25,48,-11.081,1.86289,554.508,120
0.1,25,42,-10.6671,1.40781,555.722,120
0.1,25,41,-11.1342,1.25794,556.652,120
0.1,30,41,-10.8848,1.66828,560.256,120
0.1,25,44,-11.0127,1.46538,564.269,120
0.1,25,46,-10.9747,1.65233,565.886,120
0.1,30,49,-11.103,1.88748,568.029,120
0.1,30,45,-10.9848,1.53161,570.266,120
0.1,30,40,-10.897,1.46644,574.768,120
0.1,35,40,-11.0196,1.36552,596.423,120
0.1,35,45,-10.9554,2.01454,600.586,120
0.1,35,43,-11.3143,1.71715,602.297,120
0.1,30,43,-11.6727,1.86314,604.89,120
0.1,30,46,-10.5697,1.29088,608.215,120
0.1,35,42,-10.9929,1.52664,621.489,120
0.1,30,47,-10.9818,1.56353,634.354,120
0.1,35,44,-11.1188,1.71199,639.55,120
0.1,35,41,-10.7464,1.68725,640.589,120
0.1,40,42,-10.9886,2.13336,646.553,120
0.1,40,41,-11.1068,1.82158,650.413,120
0.1,40,48,-10.8523,1.44892,650.436,120
0.1,40,45,-10.9091,1.86222,650.512,120
