threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,0.7,32,11.4091,2.12119,867.473,120
0.001,0.03,32,15.6364,1.4062,867.754,120
0.001,0.3,39,14.2424,1.63492,897.84,120
0.001,5,32,-5.67576,7.14942,953.166,120
0.001,0.03,37,15.6576,1.21244,954.553,120
0.001,10,33,-8.42424,5.95483,960.659,120
0.001,0.3,38,14.3182,1.66739,961.775,120
0.001,0.1,36,15.4818,1.25296,963.93,120
0.001,10,30,-8.27576,5.46554,968.12,120
0.001,5,39,-4.05152,5.27273,982.731,120
0.001,0.07,35,15.4939,1.34443,995.066,120
0.001,3,36,2.06061,3.20141,1000.79,120
0.001,7,35,-5.60909,4.32763,1003.29,120
0.001,0.01,37,15.6576,1.21244,1005.04,120
0.001,1,39,9.15758,2.70529,1005.91,120
0.001,0.07,39,15.4091,1.42385,1009.74,120
0.001,0.01,34,15.7,1.47259,1018.37,120
0.001,3,31,-1.22121,6.14101,1023.85,120
0.001,5,34,-3.02727,6.35998,1025.39,120
0.001,0.03,39,15.4545,1.42385,1029.53,120
0.001,3,37,-1.53333,3.43752,1029.36,120
0.001,10,37,-8.73939,6.23812,1029.99,120
0.001,0.07,32,15.5818,1.3404,1036.07,120
0.001,0.5,34,12.9788,1.84054,1044,120
0.001,10,35,-8.74848,6.64854,1046.72,120
0.001,0.1,37,15.5061,1.39043,1048.14,120
0.001,1,36,10.2364,2.70316,1048.12,120
0.001,10,31,-8.73939,4.24946,1052.19,120
0.001,0.5,33,12.0394,1.69259,1053.28,120
0.001,3,32,-0.678788,5.64757,1054.13,120
0.001,7,37,-8.13333,5.87635,1062.62,120
0.001,0.1,38,15.5576,1.41136,1064.11,120
0.001,0.3,37,14.3697,1.64433,1066.2,120
0.001,0.5,39,13.4061,2.09648,1086.62,120
0.001,3,38,0.281818,6.03593,1089.22,120
0.001,1,31,8.09394,3.49244,1092.33,120
0.001,0.07,34,15.6606,1.31606,1092.57,120
0.001,0.7,30,12.4303,1.73196,1096.22,120
0.001,7,39,-5.72121,5.58925,1110.12,120
0.001,5,37,-3.73636,4.44725,1110.47,120
0.001,0.5,31,13.103,2.08796,1117.8,120
0.001,0.7,34,9.6303,1.80218,1132.91,120
0.001,1,33,9.84545,1.85533,1132.94,120
0.001,0.07,33,15.5667,1.43885,1133.85,120
0.001,0.01,38,15.7061,1.22376,1146.74,120
0.001,1,32,9.15455,2.78324,1146.79,120
0.001,10,39,-8.85758,4.74607,1148.9,120
0.001,10,32,-8.76667,5.89552,1149.61,120
0.001,0.1,39,15.3576,1.42767,1150.41,120
0.001,10,34,-10.7939,2.94464,1154.63,120
0.001,0.7,39,10.2576,1.3593,1154.91,120
0.001,1,37,8.00909,1.87192,1158.24,120
0.001,0.3,36,14.2788,1.48563,1158.79,120
0.001,0.03,38,15.6545,1.3715,1161.08,120
0.001,0.3,31,14.5758,1.44771,1162.26,120
0.001,0.01,39,15.4545,1.42385,1182.09,120
0.001,7,30,-6.00909,9.11589,1182.83,120
0.001,5,33,-5.49394,6.26915,1186.2,120
0.001,0.1,30,15.4879,1.48011,1190.13,120
0.001,0.07,30,15.5848,1.48011,1200.72,120
0.001,0.7,37,10.1606,1.77964,1203.2,120
0.001,0.3,34,14.7636,1.40746,1204.38,120
0.001,0.5,32,13.0091,2.06704,1209.49,120
0.001,0.1,32,15.5333,1.33478,1211.67,120
0.001,3,30,0.0727273,5.65765,1212.16,120
0.001,0.1,35,15.4152,1.53766,1213.09,120
0.001,7,33,-7.77273,8.69127,1218.15,120
0.001,7,36,-6.49394,7.45827,1225.33,120
0.001,7,31,-6.29091,3.16939,1230.64,120
0.001,1,38,7.40606,2.8207,1232.93,120
0.001,5,35,-4.49091,5.26909,1237.89,120
0.001,0.7,31,10.3182,2.65537,1240.09,120
0.001,0.03,31,15.5242,1.52629,1249.07,120
0.001,0.03,34,15.7,1.47259,1252.45,120
0.001,0.3,35,14.1182,1.24925,1255.75,120
0.001,0.07,36,15.5636,1.33795,1259.43,120
0.001,0.01,36,15.6636,1.41678,1265.01,120
0.001,3,34,-1.64242,5.8404,1268.76,120
0.001,7,34,-8.00303,4.82543,1270.35,120
0.001,0.03,35,15.5848,1.32709,1274.38,120
0.001,0.07,31,15.4455,1.41668,1276.49,120
0.001,0.7,33,9.98788,2.29829,1278.88,120
0.001,5,30,-3.50606,5.89816,1279.52,120
0.001,3,35,-0.112121,5.7197,1280.96,120
0.001,0.01,32,15.6364,1.4062,1284.73,120
0.001,0.07,37,15.6121,1.5153,1295.86,120
0.001,0.3,33,14.4848,1.9204,1306.16,120
0.001,3,39,-0.763636,2.58236,1314.44,120
