threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,0.07,28,15.4697,1.43219,823.6,120
0.001,0.03,21,15.4242,1.47251,910.363,120
0.001,0.01,24,15.6061,1.48315,913.439,120
0.001,5,20,-4.23939,6.51897,917,120
0.001,0.1,23,15.2424,1.57244,917.109,120
0.001,5,24,-4.12424,6.02294,920.829,120
0.001,1,25,7.70909,1.8291,939.194,120
0.001,0.5,20,13.1515,1.92306,941.945,120
0.001,7,24,-8.59697,5.56012,942.987,120
0.001,5,28,-5.14848,5.29126,950.861,120
0.001,0.3,28,14.3515,1.28391,952.157,120
0.001,5,21,-4.57576,4.48703,953.293,120
0.001,0.03,27,15.6424,1.44611,953.723,120
0.001,0.5,21,12.5303,1.89736,955.066,120
0.001,3,29,-0.636364,2.47982,960.075,120
0.001,0.3,23,14.4485,1.63521,969.167,120
0.001,3,25,-1.89394,4.22777,973.55,120
0.001,0.1,20,15.397,1.46338,973.738,120
0.001,0.1,25,15.4788,1.42184,973.83,120
0.001,10,23,-7.54545,6.50948,977.136,120
0.001,0.01,29,15.6939,1.68522,983.06,120
0.001,7,29,-4.58788,4.78456,986.589,120
0.001,1,21,7.98485,2.58058,989.749,120
0.001,10,29,-9.1,6.27275,1003.41,120
0.001,0.03,28,15.5939,1.55787,1004.35,120
0.001,0.1,21,15.303,1.41176,1004.43,120
0.001,0.3,22,14.8424,1.6856,1004.68,120
0.001,0.1,27,15.3545,1.40128,1010.39,120
0.001,10,21,-9.40303,5.65785,1016.9,120
0.001,0.7,24,11.3515,1.9353,1030.71,120
0.001,1,23,7.36667,2.66025,1035.28,120
0.001,0.7,25,9.7697,1.64904,1039.18,120
0.001,0.5,27,13.0152,1.92258,1040.76,120
0.001,0.5,26,12.7182,1.84039,1042.94,120
0.001,0.7,26,10.7333,1.99064,1045.61,120
0.001,7,28,-6.62424,7.07045,1045.96,120
0.001,5,26,-5.29394,3.82368,1046.22,120
0.001,1,26,8.58182,2.26282,1046.91,120
0.001,7,22,-7.86667,4.7349,1047.13,120
0.001,1,29,8.83636,3.58423,1048.51,120
0.001,3,26,-0.254545,3.64724,1048.94,120
0.001,5,25,-4.76667,5.44982,1052.79,120
0.001,3,27,-0.79697,6.68068,1053.17,120
0.001,0.1,29,15.4515,1.54832,1053.3,120
0.001,3,24,-1.39091,4.14754,1054.61,120
0.001,0.1,22,15.5636,1.47165,1054.84,120
0.001,0.5,25,12.2909,2.15433,1058.59,120
0.001,0.01,22,15.5879,1.46831,1058.61,120
0.001,7,27,-7.22727,4.04134,1062.29,120
0.001,1,27,8.96667,1.48144,1062.97,120
0.001,0.07,20,15.4424,1.50428,1063.29,120
0.001,0.03,26,15.6515,1.74066,1063.63,120
0.001,0.5,22,12.9697,1.75239,1063.82,120
0.001,0.07,23,15.4697,1.42949,1063.98,120
0.001,0.3,27,14.4697,1.72555,1064.09,120
0.001,7,25,-6.26364,3.46642,1064.48,120
0.001,0.1,24,15.4545,1.37364,1065.75,120
0.001,3,23,-0.393939,4.3163,1066.48,120
0.001,0.03,20,15.603,1.66116,1067.69,120
0.001,0.03,29,15.6455,1.68522,1067.84,120
0.001,0.5,24,12.4667,2.02633,1069.63,120
0.001,10,28,-6.68788,4.52377,1069.89,120
0.001,0.7,20,11.4273,1.9736,1070.45,120
0.001,0.07,22,15.5636,1.47165,1070.99,120
0.001,0.5,28,12.5061,1.78842,1072.59,120
0.001,0.7,21,11.3182,2.28634,1072.62,120
0.001,5,22,-2.83333,5.13481,1072.84,120
0.001,7,21,-5.87576,7.94212,1074.35,120
0.001,0.1,28,15.4697,1.43219,1074.49,120
0.001,0.03,23,15.5788,1.5941,1076.23,120
0.001,0.01,23,15.5788,1.5941,1080.34,120
0.001,0.3,25,14.3273,1.6151,1081.86,120
0.001,0.07,26,15.597,1.61935,1082.37,120
0.001,0.01,25,15.5212,1.43075,1084.69,120
0.001,0.3,24,14.2606,1.5454,1085.56,120
0.001,0.3,29,14.0333,1.87808,1086.12,120
0.001,0.07,25,15.4788,1.42184,1087.26,120
0.001,0.7,27,11.6091,2.33634,1088.43,120
0.001,1,22,6.80909,1.91034,1091.35,120
0.001,10,27,-8.52424,5.8583,1091.42,120
0.001,1,20,7.91515,1.67998,1092.09,120
0.001,0.01,28,15.5939,1.55787,1093.3,120
0.001,5,27,-7.10909,4.77068,1095.02,120
0.001,0.1,26,15.403,1.36481,1098.13,120
0.001,0.7,28,10.9152,2.55707,1098.7,120
0.001,7,26,-7.79091,3.3366,1100.07,120
0.001,0.01,26,15.6939,1.62368,1100.42,120
0.001,3,21,-0.348485,5.6155,1100.83,120
0.001,0.7,22,11.9424,1.65728,1109,120
0.001,0.3,26,14.4818,1.55617,1112.39,120
0.001,0.3,21,14.3485,2.58836,1114.27,120
0.001,7,23,-7.61818,3.5637,1114.7,120
0.001,0.7,23,10.8939,2.21811,1116.32,120
0.001,0.01,27,15.6424,1.44611,1130.18,120
0.001,1,24,8.36364,2.55706,1142.27,120
0.001,5,29,-3.99394,3.25284,1166.34,120
0.001,0.3,20,14.2636,1.43007,1173.24,120
0.001,1,28,9.52727,2.50445,1179.22,120
0.001,7,20,-7.43636,5.30034,1193.08,120
0.001,0.5,29,12.5515,1.9086,1193.5,120
0.001,0.07,29,15.5485,1.55728,1194.67,120
0.001,10,26,-8.26667,4.95686,1198.62,120
0.001,0.03,22,15.5879,1.46831,1206.57,120
0.001,0.07,21,15.3485,1.69149,1206.86,120
0.001,0.03,25,15.5212,1.43075,1207.17,120
0.001,10,24,-8.9,5.1686,1208.08,120
0.001,0.07,24,15.4848,1.43916,1208.22,120
0.001,0.5,23,12.0394,1.6665,1208.01,120
0.001,10,20,-8.68182,7.42087,1212.54,120
0.001,3,22,-2.18182,4.15993,1218.03,120
0.001,0.07,27,15.5485,1.40562,1219.89,120
0.001,0.03,24,15.6061,1.48315,1223,120
0.001,3,28,-2.12424,7.49163,1223.79,120
0.001,0.01,21,15.4727,1.38214,1227.9,120
0.001,10,22,-6.74545,6.56632,1236.05,120
0.001,5,23,-6.54242,9.03743,1243.51,120
0.001,3,20,-2.52121,2.9006,1245.52,120
0.001,10,25,-9.2697,3.176,1249.94,120
0.001,0.7,29,11.3152,2.79417,1257.8,120
0.001,0.01,20,15.697,1.57545,1812.12,120
