threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.001,2,79,19.26,0.807522,44.2583,120
0.001,2,76,17.52,1.02937,44.4028,120
0.001,2,73,17.28,0.768206,50.9555,120
0.001,2,72,17.64,0.384678,53.5213,120
0.001,2,74,17.16,1.77694,54.3329,120
0.001,2,71,17.16,0.67059,56.4205,120
0.001,2,75,18.48,0.391303,60.3276,120
0.001,2,77,19.14,0.890496,73.649,120
0.001,2,78,15.78,0.339221,74.2892,120
0.001,4,76,13.675,0.649703,97.723,120
0.001,4,71,14.9,0.531113,104.881,120
0.001,4,78,16.175,0.941162,106.234,120
0.001,4,77,15.525,0.815333,108.83,120
0.001,4,72,14.05,0.999711,109.294,120
0.001,4,79,15.55,1.16124,109.549,120
0.001,6,79,15.5368,0.731548,128.602,120
0.001,4,74,14.65,0.824929,131.427,120
0.001,6,77,14.5105,0.903095,141.601,120
0.001,6,76,14.2895,1.39356,141.887,120
0.001,4,75,14.2,0.609732,154.543,120
0.001,6,70,14.1789,0.602094,155.303,120
0.001,8,79,15.048,0.751963,159.378,120
0.001,6,71,14.8579,1.2003,164.08,120
0.001,4,70,14.225,0.975131,169.596,120
0.001,4,73,15.375,1.03693,171.521,120
0.001,6,72,14.3368,1.07701,192.229,120
0.001,8,71,14.76,1.21745,194.395,120
0.001,6,75,15.4105,0.775103,195.04,120
0.001,6,74,14.8421,1.01256,195.139,120
0.001,8,75,14.772,1.48657,206.184,120
0.001,6,78,15.3947,0.572047,211.798,120
0.001,6,73,15.6474,1.27558,215.056,120
0.001,10,73,15.0187,1.10725,220.457,120
0.001,8,76,13.476,1.36038,228.921,120
0.001,10,72,13.6781,1.07091,229.184,120
0.001,8,72,14.484,0.620046,230.061,120
0.001,10,76,14.5688,1.39674,230.025,120
0.001,10,71,13.0875,1.13061,231.501,120
0.001,10,75,14.8969,0.869538,231.638,120
0.001,13,79,14.6692,0.880125,241.574,120
0.001,8,73,15.24,1.0539,245.195,120
0.001,8,78,14.832,1.01421,246.45,120
0.001,10,79,14.7844,1.07243,257.805,120
0.001,10,78,15.3562,1.13913,259.359,120
0.001,8,70,14.976,6.52324,274.101,120
0.001,13,74,14.5538,1.21128,275.553,120
0.001,13,75,14.9615,1.30401,275.622,120
0.001,13,73,14.8462,1.15391,276.181,120
0.001,8,74,15.468,1.21672,284.297,120
0.001,8,77,13.536,1.37167,295.342,120
0.001,13,72,14.0154,0.854754,297.61,120
0.001,13,76,15.1,1.26629,304.302,120
0.001,10,74,14.6625,1.77645,308.327,120
0.001,10,77,14.6437,1.18235,339.804,120
0.001,17,75,15.2192,1.75277,353.924,120
0.001,13,70,14.5462,1.66426,362.521,120
0.001,10,70,14.8594,1.16588,374.1,120
0.001,13,71,14.1,1.05042,396.712,120
0.001,17,72,14.4231,1.30442,398.505,120
0.001,17,73,14.8962,1.20115,400.403,120
0.001,17,77,13.7712,1.40001,400.785,120
0.001,13,77,13.4846,1.5131,402.13,120
0.001,17,78,15.3865,1.31797,403.286,120
0.001,17,79,14.1865,1.14517,404.519,120
0.001,20,70,14.9077,1.27214,439.967,120
0.001,20,75,14.6631,1.27837,442.332,120
0.001,13,78,15.5846,0.908514,453.239,120
0.001,20,73,14.5985,2.08306,472.727,120
0.001,17,70,14.7635,1.41148,482.102,120
0.001,25,73,14.4949,1.90148,481.494,120
0.001,20,72,13.8969,1.64006,493.777,120
0.001,17,71,14.3942,1.46176,513.525,120
0.001,25,71,13.5987,1.50156,535.787,120
0.001,25,76,14.757,1.46068,568.187,120
0.001,20,77,14.7277,1.33912,586.829,120
0.001,25,74,14.7038,1.55411,586.986,120
0.001,25,79,14.457,1.99816,589.763,120
0.001,17,74,14.625,1.38106,595.018,120
0.001,25,70,14.4722,1.26569,599.934,120
0.001,17,76,14.9423,1.33627,611.165,120
0.001,30,76,14.9273,14.7339,615.404,120
0.001,30,77,14.0636,1.98797,620.506,120
0.001,20,79,14.8662,1.21841,639.796,120
0.001,30,75,14.7394,1.54816,662.405,120
0.001,30,74,13.9576,1.77948,663.597,120
0.001,30,72,13.9333,2.13588,674.23,120
0.001,20,71,14.1046,1.34988,696.111,120
0.001,20,76,14.9769,1.35619,698.847,120
0.001,20,78,15.2123,1.57575,701.426,120
0.001,25,72,13.6899,1.35468,703.264,120
0.001,30,70,14.4909,1.64184,710.085,120
0.001,30,79,14.9424,1.91002,714.683,120
0.001,30,78,15.0152,1.37014,727.451,120
0.001,30,71,14.1848,1.57214,753.766,120
0.001,35,71,14.2366,1.54809,754.447,120
0.001,2,70,14.82,0.863182,762.436,120
0.001,25,77,13.6405,1.54172,763.926,120
0.001,20,74,14.4092,1.25329,768.971,120
0.001,25,75,15.1025,1.35917,786.387,120
0.001,30,73,14.0758,1.38398,802.602,120
0.001,25,78,14.8747,1.90249,807.192,120
0.001,40,75,14.3023,1.66947,813.597,120
0.001,40,78,14.8205,1.63731,816.153,120
0.001,35,76,14.2929,1.50724,841.132,120
0.001,35,77,14.1723,1.84237,853.222,120
0.001,35,72,14.3143,1.94621,865.2,120
0.001,35,79,14.3705,2.17029,871.754,120
0.001,35,70,14.6304,1.88412,895.219,120
0.001,35,78,14.8152,1.82427,899.352,120
0.001,35,73,14.5232,1.83297,900.402,120
0.001,35,74,14.4509,1.57876,902.258,120
0.001,35,75,14.5848,1.26433,903.555,120
0.001,40,72,13.9295,1.58625,915.468,120
0.001,40,73,14.2932,2.21232,935.189,120
0.001,40,70,14.1227,2.13724,941.44,120
0.001,40,77,14.2386,1.70875,961.039,120
0.001,40,71,14.3205,2.16184,964.534,120
0.001,40,76,14.2068,2.39847,964.752,120
0.001,40,79,14.4091,2.144,965.963,120
0.001,40,74,14.2886,1.59664,966.684,120
