threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,0.7,68,10.3061,2.97133,697.038,120
0.001,0.01,65,15.6909,1.4556,703.504,120
0.001,3,69,-0.784848,3.71684,874.312,120
0.001,1,69,9.06061,1.84321,889.595,120
0.001,0.5,65,12.2333,1.84867,912.785,120
0.001,3,66,-1.05152,6.48551,925.052,120
0.001,7,62,-7.59697,6.96225,927.711,120
0.001,1,67,9.04545,1.51137,932.426,120
0.001,0.3,65,14.0606,1.46436,942.599,120
0.001,0.1,64,15.4242,1.63556,947.447,120
0.001,0.03,63,15.6273,1.508,948.602,120
0.001,5,60,-4.90909,6.61812,961.534,120
0.001,0.1,66,15.5545,1.81726,981.531,120
0.001,0.1,69,15.4545,1.39449,983.488,120
0.001,0.07,63,15.6273,1.508,1006.68,120
0.001,0.07,65,15.5879,1.47753,1010.26,120
0.001,1,62,8.75152,2.02395,1048.74,120
0.001,0.5,62,12.303,2.1935,1053.59,120
0.001,0.7,62,9.97273,2.06476,1057.76,120
0.001,0.03,60,15.6364,1.38626,1058.17,120
0.001,0.01,64,15.5485,1.34442,1060.71,120
0.001,0.5,66,12.4485,1.87805,1077.57,120
0.001,0.07,61,15.5182,1.48491,1077.8,120
0.001,3,64,-0.921212,6.1487,1082.35,120
0.001,1,68,8.70909,1.79998,1084.2,120
0.001,0.7,69,10.2697,2.0902,1089.05,120
0.001,0.1,63,15.5879,1.51249,1118.83,120
0.001,1,66,8.08788,2.47701,1122.33,120
0.001,5,67,-4.28485,7.03966,1136.27,120
0.001,0.7,66,10.6121,2.32933,1142.19,120
0.001,3,61,-1.71818,4.21344,1147.98,120
0.001,3,68,-1.49091,6.06251,1166.17,120
0.001,7,60,-6.81818,6.10599,1169.27,120
0.001,0.3,62,13.8455,1.71788,1176.73,120
0.001,3,67,-0.581818,4.72404,1177.44,120
0.001,7,69,-7.34848,6.86065,1211.19,120
0.001,0.7,63,11.6515,1.60511,1223.62,120
0.001,0.07,68,15.597,1.28212,1229.28,120
0.001,0.3,61,13.7879,1.48176,1234.76,120
0.001,0.03,65,15.6455,1.4556,1235.32,120
0.001,0.7,67,11.0333,2.39367,1236.8,120
0.001,0.5,63,12.8727,1.90776,1259.46,120
0.001,0.01,68,15.7333,1.47607,1270.74,120
0.001,0.1,62,15.4515,1.55424,1278.7,120
0.001,5,66,-5.99394,5.13089,1278.86,120
0.001,5,68,-5.1697,7.92308,1286.11,120
0.001,0.5,69,12.4788,1.45168,1297.2,120
0.001,0.03,61,15.6091,1.58673,1297.52,120
