threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.001,2,52,16.68,0.303582,44.8718,120
0.001,2,56,17.16,0.914477,45.1054,120
0.001,2,57,16.44,0.972152,49.9942,120
0.001,2,53,18.24,0.857237,50.2331,120
0.001,2,59,17.4,0.901758,50.3377,120
0.001,2,51,18.48,0.226505,53.5942,120
0.001,2,54,17.52,0.523511,74.2442,120
0.001,2,58,18.9,0.32987,75.0796,120
0.001,4,53,15.65,0.972583,95.0451,120
0.001,4,54,15.5,0.959673,97.337,120
0.001,4,52,16.375,1.31124,104.182,120
0.001,4,57,15.95,0.362901,110.223,120
0.001,4,51,15.575,1.00186,111.284,120
0.001,4,59,14.775,0.860031,111.983,120
0.001,2,55,18.72,0.882258,122.831,120
0.001,6,55,16.0579,0.775472,128.459,120
0.001,4,58,15.075,0.306985,132.417,120
0.001,6,59,15.1737,0.985225,139.527,120
0.001,6,52,15.5211,0.857666,139.724,120
0.001,6,51,15.6947,1.35223,142.349,120
0.001,4,55,16.975,0.667346,143.368,120
0.001,6,53,15.4105,0.820131,142.852,120
0.001,4,50,16.15,0.691941,146.231,120
0.001,4,56,16.325,0.838157,155.183,120
0.001,6,58,14.3053,1.34563,161.684,120
0.001,8,59,14.016,0.874711,164.083,120
0.001,8,51,14.58,1.3275,178.889,120
0.001,6,50,14.8263,1.12831,189.167,120
0.001,6,57,15.9474,0.948189,189.601,120
0.001,8,55,16.416,1.10542,191.44,120
0.001,10,55,15.8625,0.986509,198.305,120
0.001,8,52,15.096,1.15534,202.557,120
0.001,8,53,14.7,0.844244,205.06,120
0.001,6,54,14.5421,0.585546,211.749,120
0.001,10,53,15.0281,1.42898,238.704,120
0.001,10,54,13.0594,1.53862,240.74,120
0.001,10,52,15.075,0.926431,241.199,120
0.001,8,58,14.184,1.24578,243.299,120
0.001,13,56,14.6,1.20929,242.581,120
0.001,6,56,14.5737,0.851897,248.039,120
0.001,10,51,14.9344,1.16261,251.793,120
0.001,13,52,14.8077,1.69147,261.841,120
0.001,8,50,14.472,1.419,266.388,120
0.001,8,56,15.096,1.24865,267.053,120
0.001,8,57,14.928,0.906599,286.789,120
0.001,13,57,14.8231,1.01017,289.618,120
0.001,10,56,13.9969,1.45522,299.078,120
0.001,13,59,15.0462,1.29509,301.046,120
0.001,10,59,14.5219,1.03404,306.807,120
0.001,13,51,15.0538,1.10019,308.101,120
0.001,8,54,14.112,1.32538,316.727,120
0.001,10,50,14.325,1.33562,328.699,120
0.001,10,58,14.1375,1.11451,354.653,120
0.001,13,58,15.1077,1.34553,356.151,120
0.001,13,54,13.9692,0.953464,358.49,120
0.001,10,57,14.8312,1.0087,358.941,120
0.001,13,50,14.8923,1.06385,363.619,120
0.001,17,52,14.7692,1.47015,390.202,120
0.001,17,57,14.3712,1.2374,397.433,120
0.001,13,53,14.7615,1.14801,398.57,120
0.001,20,55,15.0231,1.44433,455.999,120
0.001,20,57,14.46,1.48715,458.626,120
0.001,13,55,15.8154,1.0747,460.919,120
0.001,20,51,14.5662,1.26424,461.642,120
0.001,17,58,14.3308,1.06678,469.645,120
0.001,17,59,14.4635,1.39723,472.82,120
0.001,20,52,14.6446,1.74104,475.566,120
0.001,20,59,14.3585,1.77394,478.455,120
0.001,20,58,14.1785,1.61149,484.282,120
0.001,25,54,14.4418,1.12266,485.429,120
0.001,20,53,14.1,1.38892,486.462,120
0.001,20,54,14.5985,1.30801,487.294,120
0.001,25,50,14.0962,1.81674,489.392,120
0.001,25,55,15.1443,1.37307,511.715,120
0.001,25,51,14.6203,1.55241,514.715,120
0.001,17,50,14.1115,1.43918,517.318,120
0.001,17,56,14.1173,33.2208,522.516,120
0.001,17,53,14.8846,1.47385,532.794,120
0.001,17,54,14.4923,1.06302,543.859,120
0.001,17,55,15.6577,1.19164,562.147,120
0.001,20,56,13.5508,1.69041,577.066,120
0.001,17,51,14.7981,2.04845,594.055,120
