threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.001,1,46,8.70303,3.96647,648.056,120
0.001,0.03,40,15.6455,1.25953,683.826,120
0.001,1,49,7.61818,2.84926,687.21,120
0.001,5,43,-5.76364,7.68115,742.202,120
0.001,0.7,40,10.8455,1.97331,765.771,120
0.001,0.07,44,15.6121,1.43166,780.302,120
0.001,7,41,-7.06061,5.40862,794.487,120
0.001,0.3,44,14.0212,1.48352,809.22,120
0.001,5,44,-5.23636,3.01062,837.997,120
0.001,0.1,41,15.5758,1.29126,839.883,120
0.001,0.7,43,10.9182,2.39135,845.532,120
0.001,5,45,-4.62121,4.48017,849.526,120
0.001,0.01,47,15.697,1.44794,850.561,120
0.001,0.01,41,15.803,1.38868,852.78,120
0.001,0.7,41,10.903,2.61629,854.419,120
0.001,0.07,42,15.4242,1.53198,854.82,120
0.001,0.7,44,11.7848,1.71731,856.131,120
0.001,5,48,-4.92121,6.75136,865.232,120
0.001,0.1,46,15.3879,1.55508,873.549,120
0.001,0.3,49,14.6152,1.7011,877.266,120
0.001,7,48,-4.72727,3.67118,879.648,120
0.001,1,41,9.03939,2.94087,885.603,120
0.001,0.5,47,12.6576,1.7255,885.62,120
0.001,0.1,48,15.1182,1.42368,886.91,120
0.001,0.07,48,15.4303,1.58516,897.646,120
0.001,0.5,41,12.9758,2.10633,899.843,120
0.001,0.07,46,15.4697,1.55508,908.659,120
0.001,0.1,42,15.3182,1.61684,908.826,120
0.001,0.5,42,12.7576,1.91678,911.234,120
0.001,0.03,46,15.6364,1.36771,911.231,120
0.001,10,46,-7.47273,7.8746,921.045,120
0.001,3,43,-0.830303,8.69043,927.401,120
0.001,1,47,8.73333,2.07562,932.287,120
0.001,0.07,40,15.5485,1.23504,935.528,120
0.001,0.1,45,15.5424,1.80759,938.64,120
0.001,3,40,-1.51818,3.43641,941.599,120
0.001,0.1,43,15.2303,1.26386,942.135,120
0.001,0.07,45,15.6848,1.53934,948.097,120
0.001,0.3,42,13.703,1.42378,952.731,120
0.001,0.03,42,15.6182,1.57054,953.323,120
0.001,7,40,-6.79091,6.61214,966.249,120
0.001,5,47,-3.14545,4.59781,976.603,120
0.001,0.3,48,14.4364,1.45664,994.738,120
0.001,1,40,8.29394,2.20769,1004.33,120
0.001,0.1,44,15.4394,1.24747,1006.72,120
0.001,0.7,47,10.1182,1.84866,1020.21,120
0.001,0.5,44,11.8273,1.5633,1020.26,120
0.001,7,46,-7.40909,4.92913,1025.76,120
0.001,3,42,1.61212,6.44017,1027.09,120
0.001,3,47,0.893939,4.81143,1033.43,120
0.001,7,45,-7.56667,6.39282,1044.24,120
0.001,0.1,47,15.3848,1.46542,1044.8,120
0.001,0.07,49,15.6333,1.85291,1047.23,120
0.001,0.03,48,15.6485,1.44425,1054.02,120
0.001,0.3,41,14.3394,2.05578,1054.46,120
0.001,0.03,41,15.803,1.38868,1056.96,120
0.001,0.07,43,15.2303,1.26386,1059.33,120
0.001,10,43,-10.0697,4.83346,1060.04,120
0.001,3,45,-0.612121,5.4199,1060.74,120
0.001,5,46,-3.34545,5.0059,1060.89,120
0.001,7,49,-7.70606,9.59665,1076.13,120
0.001,7,42,-9.05758,4.05567,1080.81,120
0.001,0.01,43,15.5212,1.60047,1086.52,120
0.001,1,48,6.89697,3.08042,1092.12,120
0.001,1,43,7.73636,1.71115,1102.78,120
0.001,10,45,-9.07879,6.47181,1105.74,120
0.001,10,48,-9.27576,4.76607,1115.29,120
0.001,10,40,-7.3303,5.83156,1121.5,120
0.001,10,49,-7.55758,6.61002,1128.08,120
0.001,1,44,8.98182,1.97641,1136.58,120
0.001,1,45,8.80606,2.37369,1136.67,120
0.001,7,47,-7.70606,3.96595,1139.55,120
0.001,1,42,8.61818,1.77512,1148.13,120
0.001,3,49,2.52424,3.70895,1174.09,120
0.001,5,41,-4.67273,4.86997,1196.74,120
0.001,7,43,-10.0455,6.41819,1201.08,120
0.001,0.3,47,14.5182,1.28351,1205.44,120
0.001,0.7,46,11.4727,2.0482,1211.39,120
0.001,5,49,-3.66061,5.00719,1217.71,120
0.001,0.1,49,15.4758,1.72331,1227.07,120
0.001,0.3,45,14.8939,1.52247,1228.06,120
0.001,3,41,-0.575758,3.02175,1242.76,120
0.001,0.5,43,13.1606,2.38009,1253.23,120
0.001,10,42,-10.0333,6.62816,1271.97,120
0.001,0.3,40,14.8212,1.51319,1274.61,120
0.001,10,41,-10.003,4.35056,1305.57,120
0.001,0.7,42,12.1273,1.53287,1314.38,120
0.001,0.7,48,11.3636,1.82064,1321.18,120
0.001,0.5,48,12.9091,1.94618,1358.33,120
0.001,0.03,49,15.6333,1.85291,1359.83,120
0.001,0.07,41,15.6758,1.34238,1378.08,120
0.001,0.03,43,15.4242,1.59656,1396.61,120
0.001,0.01,44,15.6788,1.49409,1439.11,120
0.001,0.01,49,15.6273,1.55962,1445.68,120
0.001,0.7,45,11.9788,2.01712,1455.48,120
0.001,0.01,42,15.6697,1.7391,1464.11,120
0.001,3,44,1.24848,1.70412,1470.02,120
0.001,0.03,44,15.6788,1.49409,1470.83,120
0.001,0.7,49,11.9636,1.70521,1472.1,120
0.001,0.07,47,15.5455,1.18271,1478.85,120
0.001,0.3,43,14.103,1.86048,1496.65,120
0.001,10,44,-7.84242,6.49739,1514.18,120
0.001,3,48,-0.451515,3.78377,1525.53,120
0.001,0.01,45,15.7818,1.52575,1534.13,120
0.001,0.3,46,13.8636,2.08088,1551.04,120
0.001,10,47,-8.47273,5.63643,1552.22,120
0.001,0.03,47,15.6212,1.39412,1586.64,120
0.001,0.1,40,15.5061,1.23504,1622.28,120
0.001,0.03,45,15.7818,1.52575,1653.22,120
0.001,0.5,46,12.9697,2.20112,1662.11,120
0.001,0.01,48,15.6485,1.44425,1694.16,120
0.001,0.5,45,13.2879,1.78745,1705.68,120
0.001,7,44,-5.03939,6.52074,1707.09,120
0.001,0.5,40,12.503,2.82859,1709.25,120
0.001,0.01,46,15.6364,1.36771,1712.03,120
0.001,5,42,-4.48182,5.83352,1712.97,120
0.001,5,40,-5.45152,5.52613,1715.4,120
0.001,0.5,49,12.7939,1.61243,1737.25,120
0.001,3,46,-1.74242,5.13991,1739.37,120
0.001,0.01,40,15.6818,1.22578,1962.49,120
