threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.001,2,38,18.42,0.709131,47.8952,120
0.001,2,36,16.44,0.421833,48.1724,120
0.001,2,31,19.56,0.682388,49.8553,120
0.001,2,32,15.6,0.438731,53.4761,120
0.001,2,39,19.08,0.685345,59.4055,120
0.001,2,35,19.5,0.978758,59.9308,120
0.001,2,33,14.7,0.205349,69.0213,120
0.001,2,37,16.56,0.426504,69.2463,120
0.001,2,34,16.56,1.25507,75.8272,120
0.001,4,31,15.775,0.804208,98.2585,120
0.001,4,32,14.85,1.01853,112.695,120
0.001,4,39,14.925,0.920064,114.924,120
0.001,4,36,14.6,1.01655,116.221,120
0.001,4,35,17,0.914827,116.251,120
0.001,4,33,15,0.875078,137.285,120
0.001,4,30,15.325,0.548974,144.192,120
0.001,6,36,14.1474,1.01639,148.089,120
0.001,4,38,15.875,0.564019,149.746,120
0.001,6,35,16.0895,1.29774,152.582,120
0.001,4,34,15.525,0.875655,164.572,120
0.001,4,37,16.275,1.04443,166.757,120
0.001,6,32,14.5579,1.29683,166.507,120
0.001,6,33,14.3526,1.01978,171.184,120
0.001,6,38,15.1895,0.98201,172.369,120
0.001,6,31,16.0105,0.936781,172.734,120
0.001,8,31,14.88,0.857587,192.873,120
0.001,8,30,15.66,0.600455,193.704,120
0.001,8,36,14.508,1.3422,195.472,120
0.001,6,39,17.0684,1.41451,199.035,120
0.001,6,30,15.0789,0.995274,201.7,120
0.001,6,34,14.7947,0.884412,212.031,120
0.001,10,38,14.9437,1.57241,221.283,120
0.001,6,37,14.2105,1.13481,222.713,120
0.001,10,31,14.1563,0.944499,226.295,120
0.001,10,33,15,1.40366,240.252,120
0.001,10,32,14.8031,1.13452,242.707,120
0.001,8,33,15.216,0.880722,248.295,120
0.001,8,39,15.228,1.18098,248.651,120
0.001,8,34,14.592,0.977102,249.849,120
0.001,8,35,16.044,1.26593,252.145,120
0.001,10,30,15.4781,1.30144,258.748,120
0.001,10,35,14.4281,30.7301,264.144,120
0.001,13,34,13.6308,1.46063,264.231,120
0.001,8,32,15.024,1.1909,278.248,120
0.001,8,37,14.928,1.34398,278.633,120
0.001,8,38,15.3,1.16856,282.294,120
0.001,13,35,15.4077,1.26541,290.051,120
0.001,10,34,14.0344,1.21747,311.201,120
0.001,13,30,15.4769,1.56462,321.868,120
0.001,10,39,14.1844,1.37474,347.752,120
0.001,10,37,14.5594,1.13987,352.565,120
0.001,17,30,15.1904,1.28064,361.837,120
0.001,13,31,14.8231,1.36752,366.609,120
0.001,13,32,14.0154,1.19868,367.413,120
0.001,13,36,14.1846,1.46934,373.867,120
0.001,17,31,13.6096,1.32332,375.091,120
0.001,17,35,14.8327,1.48991,376.371,120
0.001,10,36,14.4281,0.973717,383.968,120
0.001,17,34,14.325,1.63906,400.949,120
0.001,13,39,14.3692,1.44116,403.895,120
0.001,17,36,13.6154,1.75892,403.833,120
0.001,13,33,13.8231,1.44673,404.742,120
0.001,13,37,14.1231,1.35266,406.145,120
0.001,13,38,14.8846,1.35238,410.153,120
0.001,17,33,14.1173,1.14648,411.522,120
0.001,20,36,14.4554,1.63177,433.908,120
