threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.001,2,97,17.4,1.0095,59.3361,120
0.001,2,94,16.38,0.943482,69.6162,120
0.001,2,99,18.18,0.568984,76.5957,120
0.001,2,98,18.36,48.7114,76.8981,120
0.001,2,95,18,0.724018,77.5978,120
0.001,2,96,20.7,0.718478,81.7449,120
0.001,2,92,18.72,1.07346,82.654,120
0.001,2,93,17.28,0.687567,83.0007,120
0.001,2,91,15.72,0.852815,84.0438,120
0.001,4,97,15.2,0.749678,105.014,120
0.001,4,92,16.6,1.33975,105.929,120
0.001,4,98,16.425,0.301303,106.467,120
0.001,4,99,16.35,0.91384,116.155,120
0.001,4,93,15.45,0.613723,117.296,120
0.001,4,90,15.45,0.989932,119.555,120
0.001,4,91,14.65,0.702788,120.034,120
0.001,4,96,14.9,0.651753,135.528,120
0.001,4,94,14.125,0.41932,135.628,120
0.001,4,95,15.175,0.746449,148.884,120
0.001,6,92,15.6158,1.13653,154.296,120
0.001,6,91,12.9,0.594335,170.5,120
0.001,6,98,15.3474,1.23066,171.403,120
0.001,6,96,15.7263,0.676243,175.802,120
0.001,6,99,15.8842,20.6283,178.614,120
0.001,8,96,15.252,42.2446,194.384,120
0.001,8,94,15.852,0.959009,196.158,120
0.001,8,97,15.012,0.812466,196.221,120
0.001,8,98,14.652,0.637079,200.869,120
0.001,6,93,15,0.717622,217.77,120
0.001,6,95,15.3158,0.883595,219.626,120
0.001,6,90,14.1,1.32293,219.944,120
0.001,6,97,14.8105,0.907789,220.118,120
0.001,6,94,15.4895,1.25444,235.531,120
0.001,10,97,13.8469,0.9506,263.652,120
0.001,10,93,14.2312,0.922461,264.509,120
0.001,10,91,14.6906,1.27936,266.687,120
0.001,10,94,14.9719,1.43021,270.356,120
0.001,10,90,14.775,1.26934,271.896,120
0.001,8,99,14.868,44.1122,279.155,120
0.001,8,91,14.04,1.20159,280.505,120
0.001,8,95,14.016,1.41192,281.569,120
0.001,8,93,14.976,0.8719,285.524,120
0.001,10,98,15.3563,1.21379,286.796,120
0.001,13,97,14.1,1.06956,290.987,120
0.001,13,98,14.4308,1.32852,297.609,120
0.001,8,90,14.832,1.34751,299.47,120
0.001,8,92,14.952,1.00776,305.055,120
0.001,13,90,14.1,1.37838,318.115,120
0.001,13,99,14.1692,1.12451,322.562,120
0.001,13,94,14.3462,1.1406,331.555,120
0.001,13,96,15.1308,1.19933,337.5,120
0.001,13,95,14.3154,1.33851,340.561,120
0.001,10,92,13.8844,1.05509,358.568,120
0.001,10,96,14.8031,0.837158,372.779,120
0.001,13,91,14.4385,1.23472,374.137,120
0.001,17,99,14.8442,1.36546,374.133,120
0.001,17,93,14.0654,1.183,378.236,120
0.001,17,96,14.3423,1.37244,378.516,120
0.001,13,92,14.9846,1.48549,417.976,120
0.001,17,92,14.7462,1.6177,421.083,120
0.001,17,90,13.8865,1.28526,435.376,120
0.001,13,93,14.1,1.16305,444.676,120
0.001,10,95,14.3625,1.28482,468.243,120
0.001,10,99,14.2125,1.22972,468.295,120
0.001,17,91,13.9788,1.70752,488.849,120
0.001,17,97,14.25,1.6369,488.929,120
0.001,20,95,14.1646,1.39958,501.4,120
0.001,20,92,14.5431,1.30401,501.31,120
0.001,20,98,13.7215,1.40423,502.351,120
0.001,20,99,14.1138,1.13666,506.648,120
0.001,17,98,14.8788,1.56733,535.899,120
0.001,17,95,14.3885,1.50051,536.48,120
0.001,25,95,14.0582,1.41346,563.492,120
0.001,2,90,17.34,0.552066,621.27,120
0.001,25,93,13.9481,1.67531,625.797,120
0.001,20,97,14.1046,1.49755,628.359,120
0.001,20,90,14.3123,1.75656,628.456,120
0.001,20,91,14.5154,1.4129,629.366,120
0.001,20,94,14.7692,1.56029,629.888,120
0.001,17,94,14.4923,1.17767,639.309,120
0.001,20,93,13.5969,1.78023,638.912,120
0.001,20,96,14.5846,1.34114,640.017,120
0.001,25,96,14.2899,2.03444,649.532,120
0.001,25,97,14.4987,1.55482,662.171,120
0.001,25,90,14.0582,1.58878,665.245,120
0.001,25,99,14.3544,1.33666,667.229,120
0.001,25,94,14.4835,1.55235,676.005,120
0.001,25,92,14.6696,1.53552,681.002,120
0.001,30,98,13.5909,1.41919,683.594,120
0.001,30,99,14.8182,1.41491,688.986,120
0.001,30,91,13.8606,1.76642,692.704,120
0.001,25,98,14.2937,1.73946,696.426,120
0.001,25,91,13.8418,1.72724,697.747,120
0.001,30,96,14.4212,43.3298,697.756,120
0.001,30,90,14.1152,5.2399,705.09,120
0.001,35,96,14.317,31.8904,731.232,120
0.001,35,92,14.3893,1.53243,737.74,120
0.001,30,94,14.2424,2.13763,738.387,120
0.001,35,99,14.5286,2.29191,738.351,120
0.001,30,95,14.0091,2.13617,740.19,120
0.001,30,97,14.4303,2.33346,741.262,120
0.001,30,92,14.4394,1.4752,744.007,120
0.001,35,95,14.1991,2.17098,746.176,120
0.001,35,94,14.4589,2.01522,752.855,120
0.001,35,98,13.9473,1.79391,761.173,120
0.001,40,92,13.9341,2.14627,762.029,120
0.001,30,93,13.8606,1.62875,764.42,120
0.001,40,97,14.3182,1.73547,765.508,120
0.001,35,93,14.3652,1.44818,788.055,120
0.001,35,91,13.95,1.47515,790.561,120
0.001,35,97,14.5018,26.669,797.437,120
0.001,40,96,13.8727,1.94744,798.03,120
0.001,35,90,13.7357,2.3168,799.67,120
0.001,40,98,13.925,1.73665,805.792,120
0.001,40,99,14.2591,1.47102,811.917,120
0.001,40,91,13.6091,1.69036,818.516,120
0.001,40,90,14.2591,1.8382,824.597,120
0.001,40,95,14.0523,1.95516,830.655,120
0.001,40,93,13.6864,1.61863,830.745,120
0.001,40,94,14.3614,1.79903,905.296,120
