threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.001,2,89,16.26,0.227157,55.8138,120
0.001,2,81,18,1.18953,56.1304,120
0.001,2,83,17.82,0.47221,57.0415,120
0.001,2,86,16.68,0.736698,60.3841,120
0.001,2,85,16.56,0.687527,61.1743,120
0.001,2,87,17.1,0.204119,77.8302,120
0.001,2,84,19.32,0.491015,78.1483,120
0.001,2,82,19.08,0.475077,82.4794,120
0.001,2,88,17.58,1.31181,89.5641,120
0.001,4,82,14.05,0.714246,99.2391,120
0.001,4,85,15.325,1.00355,108.422,120
0.001,4,86,14.925,0.671958,109.328,120
0.001,4,81,15.65,0.598318,112.01,120
0.001,6,83,14.0684,0.740575,143.544,120
0.001,4,87,16.775,0.844002,156.913,120
0.001,6,82,13.8158,1.18854,158.564,120
0.001,6,85,13.7526,1.10125,160.102,120
0.001,4,84,16.5,0.657656,161.745,120
0.001,4,80,15.1,0.713733,172.522,120
0.001,4,88,14.85,0.958332,174.364,120
0.001,4,83,16.75,16.5213,174.634,120
0.001,6,86,15.6316,1.16649,174.284,120
0.001,6,87,15.0474,0.726091,179.792,120
0.001,8,85,14.22,1.23818,201.724,120
0.001,8,89,15.072,1.4906,202.917,120
0.001,8,86,14.664,1.49357,203.124,120
0.001,6,84,15.6632,1.13921,219.819,120
0.001,6,88,14.8105,0.881218,222.145,120
0.001,6,89,13.8,1.28347,222.528,120
0.001,8,80,14.436,0.91272,228.592,120
0.001,6,81,16.3421,1.01136,229.538,120
0.001,6,80,14.5579,1.07443,233.277,120
0.001,10,85,14.9062,0.920196,249.112,120
0.001,10,80,15.5719,1.01423,249.588,120
0.001,4,89,15.075,0.50053,274.069,120
0.001,13,81,15.1846,1.23847,283.408,120
0.001,10,82,13.6219,1.17104,283.93,120
0.001,13,83,14.8231,1.07131,284.34,120
0.001,13,87,14.5846,1.78,284.933,120
0.001,10,81,16.05,1.42127,287.443,120
0.001,13,89,14.4615,1.32525,289.689,120
0.001,13,86,14.8692,1.35284,298.476,120
0.001,8,87,15.564,0.737774,300.957,120
0.001,8,84,15.408,1.22294,301.004,120
0.001,8,82,14.472,1.0803,309.503,120
0.001,8,88,15.168,0.964628,318.971,120
0.001,8,83,15.132,1.0569,321.539,120
0.001,8,81,15.624,1.47,323.69,120
0.001,10,88,15.3656,1.18134,341.14,120
0.001,13,88,14.7846,1.04996,341.983,120
