threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.03,4,2.28485,1.41728,1079.56,120
0.01,0.03,5,2.52424,1.47813,1049.65,120
0.01,0.03,6,2.45152,1.48218,946.427,120
0.01,0.03,7,2.47879,1.65579,894.793,120
0.01,0.03,8,2.39394,24.7904,938.404,120
0.01,0.03,9,2.41818,1.3355,879.253,120
0.01,0.03,10,2.54848,1.21467,945.64,120
0.01,0.03,11,2.32727,1.51667,924.444,120
0.01,0.03,12,2.52121,1.36037,976.16,120
0.01,0.03,13,2.46061,1.40874,925.876,120
0.01,0.03,14,2.55152,1.67251,997.537,120
0.01,0.03,15,2.59091,1.27661,1071.29,120
0.01,0.03,16,2.5,1.29117,1151.04,120
0.01,0.03,17,2.66667,1.50653,1073.44,120
0.01,0.03,18,2.24848,1.63532,874.261,120
0.01,0.03,19,2.63636,1.52931,1011.81,120
0.01,0.03,20,2.33333,1.21251,1216.05,120
0.01,0.03,21,2.40909,1.20905,1084.98,120
0.01,0.03,22,2.49697,1.33143,1080.63,120
0.01,0.03,23,2.38182,1.06606,1153.16,120
0.01,0.03,24,2.4697,1.4835,963.722,120
0.01,0.03,25,2.31515,1.46163,1130.48,120
0.01,0.03,26,2.41818,1.36276,1519.28,120
0.01,0.03,27,2.35455,1.2652,1026.92,120
0.01,0.03,28,2.52424,1.26306,1081.54,120
0.01,0.03,29,2.43636,1.57035,1162.27,120
0.01,0.03,30,2.6,1.34198,1204.08,120
0.01,0.03,31,2.53939,1.31676,947.635,120
0.01,0.03,32,2.51212,1.6333,950.8,120
0.01,0.03,33,2.48182,1.36854,887.792,120
0.01,0.03,34,2.53636,1.50777,981.747,120
0.01,0.03,35,2.42121,1.36798,924.471,120
0.01,0.03,36,2.56364,1.28843,1066.58,120
0.01,0.03,37,2.37879,1.35158,1109.43,120
0.01,0.03,38,2.51515,1.49737,885.312,120
0.01,0.03,39,2.27273,1.29037,1198.63,120
0.01,0.03,40,2.53636,1.35942,997.943,120
0.01,0.03,41,2.55152,1.35735,929.577,120
0.01,0.03,42,2.37879,1.45171,852.551,120
0.01,0.03,43,2.22727,1.2698,846.802,120
0.01,0.03,44,2.45455,1.37288,992.462,120
0.01,0.03,45,2.57576,1.46713,888.928,120
0.01,0.03,46,2.40606,1.49106,960.571,120
0.01,0.03,47,2.50606,1.33947,1023.58,120
0.01,0.03,48,2.29394,1.22228,887.962,120
0.01,0.03,49,2.41515,1.25337,896.5,120
0.01,0.03,50,2.35758,31.0706,919.252,120
0.01,0.03,51,2.68182,1.19129,1007.85,120
0.01,0.03,52,2.35758,1.28835,960.13,120
0.01,0.03,53,2.39697,1.15799,1120.71,120
0.01,0.03,54,2.58788,1.57844,1032.41,120
0.01,0.03,55,2.47273,1.52301,842.773,120
0.01,0.03,56,2.40303,1.37375,1150.8,120
0.01,0.03,57,2.38182,1.54717,774.379,120
0.01,0.03,58,2.5,1.46925,767.389,120
0.01,0.03,59,2.4697,1.41035,809.528,120
0.01,0.03,60,2.44242,1.47218,1134.5,120
0.01,0.03,61,2.47576,1.50855,1226.79,120
0.01,0.03,62,2.30606,1.45093,1067.41,120
0.01,0.03,63,2.45455,1.1592,926.33,120
0.01,0.03,64,2.37576,1.35293,1356.54,120
0.01,0.03,65,2.55758,1.4091,937.157,120
0.01,0.03,66,2.53939,1.35268,1001.08,120
