threshold,grad_cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,1,99,-2.83939,2.13129,739.793,120
0.01,5,91,-10.0303,2.89631,758.348,120
0.01,0.03,97,2.53939,1.14717,776.04,120
0.01,10,98,-13.797,5.59737,813.09,120
0.01,7,94,-10.8606,8.18973,814.722,120
0.01,7,99,-11.4212,3.56126,815.617,120
0.01,0.3,99,1.57576,1.58619,818.915,120
0.01,1,92,-1.71818,2.7382,823.088,120
0.01,1,91,-1.26061,2.81657,823.657,120
0.01,0.3,94,1.71515,1.35072,831.193,120
0.01,0.1,90,2.32727,1.77571,835.419,120
0.01,0.5,94,-1.18424e-15,2.38563,854.56,120
0.01,0.7,99,-0.609091,2.81103,857.996,120
0.01,0.7,96,-0.651515,28.8582,860.251,120
0.01,0.01,96,2.48788,31.2028,865.49,120
0.01,0.07,90,2.36667,1.77571,870.158,120
0.01,3,93,-8.9303,5.04114,870.504,120
0.01,0.3,95,0.948485,1.54875,872.917,120
0.01,3,92,-6.04848,5.66773,873.614,120
0.01,0.1,97,2.53939,1.14717,874.155,120
0.01,3,94,-10.2879,4.25292,874.317,120
0.01,1,96,-2.11212,27.1174,875.614,120
0.01,0.5,96,1.12121,30.2886,875.886,120
0.01,0.3,91,1.59091,1.75923,876.759,120
0.01,0.01,91,2.48182,1.33925,878.547,120
0.01,10,97,-11.7576,5.63775,879.315,120
0.01,0.01,99,2.30606,1.44225,880.275,120
0.01,10,95,-12.1303,6.96985,882.723,120
0.01,1,95,-1.60606,2.4574,883.761,120
0.01,0.7,97,-0.681818,1.83914,884.109,120
0.01,10,92,-13.9758,5.22806,887.932,120
0.01,0.07,93,2.47576,1.5303,895.707,120
0.01,0.03,93,2.47576,1.5303,897.153,120
0.01,0.5,91,-0.184848,2.35283,897.739,120
0.01,0.1,92,2.50303,1.40867,906.341,120
0.01,10,91,-11.2091,4.41079,919.199,120
0.01,10,94,-12.5697,6.45505,921.328,120
0.01,3,91,-6.88788,4.3802,923.259,120
0.01,0.3,97,1.36061,1.46278,927.04,120
0.01,10,93,-12.1667,6.84388,927.135,120
0.01,0.7,91,-0.445455,2.31631,930.997,120
0.01,5,94,-10.803,7.41137,932.882,120
0.01,0.5,99,0.575758,2.16129,936.518,120
0.01,3,99,-8.14545,7.37221,938.507,120
0.01,0.01,98,2.44545,1.25533,939.524,120
0.01,0.1,96,2.48788,31.2028,940.437,120
0.01,0.01,95,2.40606,1.67113,944.214,120
0.01,0.1,91,2.43636,1.33925,950.347,120
0.01,0.03,96,2.48788,31.2028,950.98,120
0.01,5,97,-11.2909,8.78951,951.919,120
0.01,7,91,-11.7152,8.87467,954.815,120
0.01,0.01,92,2.55758,1.57119,957.036,120
0.01,0.03,95,2.44848,1.63127,958.033,120
0.01,5,95,-9.57879,7.73783,1003.85,120
0.01,0.3,92,1.97576,2.10173,1022.26,120
0.01,0.07,98,2.44545,1.25533,1022.6,120
0.01,0.07,99,2.30606,1.44225,1023.02,120
0.01,0.07,94,2.34848,1.47946,1023.59,120
0.01,7,90,-10.7455,8.54217,1034.59,120
0.01,7,92,-9.35758,3.73753,1035.63,120
0.01,3,98,-6.26364,4.12578,1036.93,120
0.01,0.5,92,0.333333,1.91402,1038.26,120
0.01,0.3,90,1.68182,1.45067,1040.75,120
0.01,0.03,99,2.30606,1.44225,1043.17,120
0.01,0.1,98,2.44545,1.25533,1043.69,120
0.01,0.07,97,2.53939,1.14717,1044.59,120
0.01,0.5,98,0.863636,1.86149,1051.25,120
0.01,0.3,93,1.32424,1.74788,1051.38,120
0.01,0.7,93,-0.827273,1.41993,1053.95,120
0.01,0.03,91,2.48182,1.33925,1055.74,120
0.01,0.03,98,2.44545,1.25533,1056.29,120
0.01,0.7,98,0.0121212,2.52843,1056.56,120
0.01,10,90,-12.9091,3.28122,1057.86,120
0.01,5,99,-8.04848,6.97053,1057.78,120
0.01,7,97,-11.5727,9.08345,1058.31,120
0.01,0.1,95,2.26667,1.42875,1063.16,120
0.01,5,92,-11.1303,10.0461,1063.29,120
0.01,0.5,95,0.527273,1.67677,1064.14,120
0.01,5,96,-11.2273,19.4705,1065.37,120
0.01,1,94,-2.21212,1.50431,1067.15,120
0.01,0.7,95,-0.99697,2.90575,1077.5,120
0.01,3,90,-7.21212,4.44168,1082.81,120
0.01,3,97,-9.23333,6.67393,1084.9,120
0.01,0.5,97,0.393939,1.77399,1085.57,120
0.01,7,95,-12.2545,3.65809,1086.21,120
0.01,1,90,-2.3697,2.22681,1089.8,120
0.01,0.07,92,2.50303,1.40867,1093.18,120
0.01,0.07,91,2.48182,1.33925,1093.04,120
0.01,0.07,95,2.36667,1.67113,1093.78,120
0.01,0.07,96,2.48788,31.2028,1097.42,120
0.01,0.3,96,1.46364,30.2466,1105.16,120
0.01,7,98,-12.3606,8.30022,1106.57,120
0.01,0.1,99,2.22121,1.37075,1109.66,120
0.01,0.7,90,-1.36364,1.97971,1112.78,120
0.01,1,98,-2.24848,2.23722,1114.65,120
0.01,0.1,94,2.34848,1.47946,1115.11,120
0.01,3,95,-8.8303,1.6645,1116.66,120
0.01,0.03,90,2.46667,1.53458,1116.61,120
0.01,0.03,92,2.55758,1.57119,1117.1,120
0.01,0.5,90,1.31818,1.29497,1119.64,120
0.01,0.7,94,-0.672727,2.7141,1124.53,120
0.01,0.01,97,2.53939,1.14717,1124.58,120
0.01,0.01,93,2.43333,1.47901,1124.78,120
0.01,7,93,-9.69091,7.16423,1127.18,120
0.01,5,98,-10.1424,2.47934,1127.72,120
0.01,0.03,94,2.49394,1.41584,1131.91,120
0.01,0.7,92,-0.0848485,2.3164,1132.16,120
0.01,1,93,-2.51212,4.39267,1132.33,120
0.01,3,96,-9.25152,20.736,1132.26,120
0.01,0.01,94,2.49394,1.41584,1134.35,120
0.01,10,99,-13.7121,4.87435,1135.55,120
0.01,0.1,93,2.51212,1.48361,1136.32,120
0.01,0.5,93,0.445455,2.23797,1138.56,120
0.01,0.3,98,2.09697,1.70682,1144.15,120
0.01,5,93,-10.4818,4.93207,1146.39,120
0.01,5,90,-10.5758,8.12897,1147.55,120
0.01,1,97,-2.09394,2.28334,1147.81,120
0.01,7,96,-12.6758,16.8547,1204.65,120
0.01,10,96,-13.297,17.4671,1252.88,120
0.01,0.01,90,2.46667,1.53458,1751.1,120
