threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.0001,2,82,28.68,0.513804,46.4549,120
0.0001,2,81,27.72,0.593643,50.7861,120
0.0001,2,85,26.94,0.324282,50.8141,120
0.0001,2,88,28.62,0.59985,57.6031,120
0.0001,2,83,28.08,1.23451,58.0261,120
0.0001,2,87,27.42,1.27412,70.4601,120
0.0001,2,86,27.78,0.464208,71.3472,120
0.0001,2,84,28.68,0.37964,76.5189,120
0.0001,2,89,26.4,0.356694,82.4204,120
0.0001,4,89,26.35,0.581942,90.8071,120
0.0001,4,85,26.25,0.991125,91.8058,120
0.0001,4,87,27.2,0.293874,99.1927,120
0.0001,4,84,27,0.963501,100.626,120
0.0001,6,85,25.2474,1.13477,139.807,120
0.0001,4,82,25.85,1.2689,141.043,120
0.0001,4,88,26.775,0.751081,151.32,120
0.0001,4,83,26.975,26.9362,152,120
0.0001,6,83,25.7053,1.12869,152.018,120
0.0001,4,81,26.95,1.64204,153.315,120
0.0001,6,89,25.3421,1.23311,152.922,120
0.0001,4,86,26.55,1.23011,154.049,120
0.0001,6,81,27.1737,0.932682,165.426,120
0.0001,6,88,26.2895,0.849368,169.044,120
0.0001,4,80,26.65,0.886605,170.893,120
0.0001,8,85,25.764,1.18985,184.811,120
0.0001,8,86,26.1,1.5589,192.557,120
0.0001,8,89,26.244,1.25435,193.11,120
0.0001,6,87,26.1158,1.09154,209.562,120
0.0001,6,84,26.5579,1.33448,210.189,120
0.0001,8,82,25.824,1.39412,210.867,120
0.0001,8,83,26.16,0.864308,211.555,120
0.0001,8,87,26.484,1.18191,212.926,120
0.0001,6,82,25.5316,1.14762,216.923,120
0.0001,8,88,26.496,1.24507,220.391,120
0.0001,6,80,25.9737,1.32074,226.026,120
0.0001,10,83,26.2969,1.18276,239.816,120
0.0001,10,88,26.4,0.856346,241.104,120
0.0001,6,86,26.4947,0.857368,244.741,120
0.0001,10,84,26.9812,1.30932,263.474,120
0.0001,10,85,26.0906,1.73647,265.203,120
0.0001,10,81,26.8406,1.16696,273.118,120
0.0001,10,89,25.3125,1.42218,278.213,120
0.0001,13,83,26.2,1.28296,282.783,120
0.0001,8,80,26.124,1.09332,285.581,120
0.0001,8,81,26.424,1.05515,311.85,120
0.0001,8,84,26.664,1.32862,313.139,120
0.0001,13,84,26.4462,1.34634,316.93,120
0.0001,13,82,25.5692,1.49234,317.467,120
0.0001,13,81,26.1846,1.42226,324.437,120
0.0001,13,88,26.4,1.63534,327.925,120
0.0001,13,87,25.9615,1.36577,328.309,120
0.0001,13,89,25.8077,1.23043,329.149,120
0.0001,13,80,26.1231,1.57269,338.838,120
0.0001,10,87,26.3812,1.32712,345.256,120
0.0001,10,86,26.4656,1.30235,345.53,120
0.0001,10,82,25.0781,1.67956,353.264,120
0.0001,17,85,25.35,1.15082,354.83,120
0.0001,17,88,26.5154,1.36268,360.482,120
0.0001,17,89,25.7481,1.31494,376.894,120
0.0001,13,85,25.3538,1.36936,388.135,120
0.0001,17,81,26.2673,1.61747,410.219,120
0.0001,17,86,26.0885,1.33576,413.731,120
0.0001,13,86,26.3077,1.11943,424.897,120
0.0001,17,87,26.4577,1.52441,424.674,120
0.0001,10,80,26.5031,1.3846,433.542,120
0.0001,20,82,25.0015,1.24854,464.29,120
0.0001,20,88,26.0538,1.44647,472.252,120
0.0001,20,89,25.9015,1.15204,506.083,120
0.0001,17,82,25.5981,1.32097,522.696,120
0.0001,17,83,25.2865,1.62064,523.704,120
0.0001,17,80,26.2385,1.06722,532.589,120
0.0001,2,80,27.9,0.0165754,567.778,120
0.0001,25,82,25.5494,1.78668,589.824,120
0.0001,20,84,26.16,1.47813,591.233,120
0.0001,25,89,25.7392,1.57717,590.793,120
0.0001,17,84,26.1173,1.31894,596.875,120
0.0001,20,83,25.8138,1.42041,597.387,120
0.0001,20,85,25.9246,1.30759,599.818,120
0.0001,20,87,26.2662,1.23089,602.552,120
0.0001,20,80,26.1,1.16828,606.565,120
0.0001,20,81,25.98,1.50434,607.613,120
0.0001,20,86,26.3723,47.346,609.7,120
0.0001,30,84,25.8667,1.51475,628.356,120
0.0001,25,84,26.1266,1.53258,629.426,120
0.0001,25,81,25.819,1.51721,631.863,120
0.0001,25,80,26.1684,1.29859,642.862,120
0.0001,25,86,26.0544,1.75362,648.618,120
0.0001,30,89,25.4576,1.62616,650.07,120
0.0001,25,83,25.9785,1.67433,656.077,120
0.0001,25,85,25.8342,1.59137,658.923,120
0.0001,25,87,26.1949,1.61632,663.357,120
0.0001,30,80,25.8,1.56067,663.26,120
0.0001,25,88,26.1,1.5963,663.894,120
0.0001,30,88,25.7848,1.65156,667.402,120
0.0001,35,88,25.9232,1.6684,670.754,120
0.0001,35,80,25.9205,1.61736,676.654,120
0.0001,35,81,25.9366,1.67527,677.598,120
0.0001,35,87,26.0893,1.34874,690.059,120
0.0001,35,82,25.2429,1.77901,691.171,120
0.0001,30,85,25.9182,1.41002,696.573,120
0.0001,35,89,25.6982,1.60222,697.223,120
0.0001,30,87,26.3,1.45571,701.12,120
0.0001,30,86,25.9242,1.62004,701.884,120
0.0001,30,83,25.7727,1.41812,709.198,120
0.0001,30,82,25.0273,1.34399,716.692,120
0.0001,30,81,26.003,1.4313,717.188,120
0.0001,40,81,26.175,1.59952,730.391,120
0.0001,40,84,25.6795,1.57097,737.93,120
0.0001,40,88,25.6591,1.68479,740.44,120
0.0001,35,86,26.0062,52.8535,749.61,120
0.0001,40,83,25.7614,1.71198,757.95,120
0.0001,40,85,25.7591,1.73628,761.32,120
0.0001,40,86,25.7614,1.68514,761.234,120
0.0001,35,84,26.0196,1.95237,764.043,120
0.0001,35,83,25.7411,2.07872,765.443,120
0.0001,40,80,25.9955,1.8657,766.653,120
0.0001,35,85,25.5188,1.46251,770.695,120
0.0001,40,89,25.6818,1.3207,819.455,120
0.0001,40,82,25.6159,50.9581,844.649,120
0.0001,40,87,25.8977,1.54798,849.641,120
