threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.0001,2,7,28.2,0.776223,47.1029,120
0.0001,2,5,27.6,0.31093,54.7429,120
0.0001,2,8,28.08,1.09384,57.9629,120
0.0001,2,1,27.3,0.567831,62.4732,120
0.0001,2,6,28.02,1.11134,62.8533,120
0.0001,2,3,27.18,0.819348,70.3935,120
0.0001,2,9,27.96,0.515235,73.7812,120
0.0001,2,2,26.34,0.428861,74.2936,120
0.0001,2,4,28.14,0.456386,81.0473,120
0.0001,4,3,26.375,0.651726,103.947,120
0.0001,4,2,26.1,0.724795,107.42,120
0.0001,4,7,26.8,1.21443,107.673,120
0.0001,4,5,25.875,1.02498,114.174,120
0.0001,4,0,25.95,0.840509,115.944,120
0.0001,4,6,27.225,0.517728,116.34,120
0.0001,4,8,27.2,1.13358,136.23,120
0.0001,4,9,26.8,0.618429,141.39,120
0.0001,4,1,25.6,0.988987,154.578,120
0.0001,6,6,27.4105,0.909769,157.315,120
0.0001,6,1,26.1,0.837154,169.048,120
0.0001,4,4,26.45,1.41063,172.257,120
0.0001,6,8,27.1421,1.16343,179.476,120
0.0001,6,5,25.6579,1.1681,179.618,120
0.0001,6,7,25.9105,0.559604,181.871,120
0.0001,8,7,26.58,1.50719,196.839,120
0.0001,6,4,26.5263,1.07317,210.405,120
0.0001,6,9,26.4316,1.15216,213.76,120
0.0001,8,6,26.976,1.27212,213.327,120
0.0001,8,0,25.02,0.825152,222.325,120
0.0001,8,4,26.568,1.13091,223.964,120
0.0001,10,1,25.7344,1.50651,230.195,120
0.0001,6,3,26.1,1.12851,232.14,120
0.0001,6,2,25.6421,0.760136,236.244,120
0.0001,6,0,26.6211,1.14807,246.396,120
0.0001,10,6,26.5312,1.25398,247.362,120
0.0001,8,9,26.76,0.835584,252.366,120
0.0001,10,0,24.675,1.11702,261.731,120
0.0001,10,3,26.1469,1.06023,262.623,120
0.0001,8,2,25.98,1.30002,267.128,120
0.0001,8,3,25.776,0.928703,269.558,120
0.0001,8,5,26.196,1.34377,290.421,120
0.0001,13,2,25.3769,1.23172,292.537,120
0.0001,13,1,25.8538,1.5807,294.324,120
0.0001,13,7,25.8231,1.26512,295.497,120
0.0001,8,8,26.7,1.11031,298.031,120
0.0001,8,1,26.016,1.0195,299.031,120
0.0001,13,4,26.1077,1.54934,310.639,120
0.0001,10,9,26.6625,1.53675,314.192,120
0.0001,10,4,26.2312,1.0017,315.863,120
0.0001,17,3,25.7481,1.59432,335.122,120
0.0001,10,2,25.6219,1.1898,354.428,120
0.0001,10,7,25.9969,0.872341,360.658,120
0.0001,10,5,25.8469,1.07745,363.146,120
0.0001,13,6,26.6462,1.04108,380.058,120
0.0001,13,0,25.4692,1.32705,383.668,120
0.0001,17,0,25.9962,1.06899,388.025,120
0.0001,10,8,26.2031,1.10055,390.231,120
0.0001,13,3,25.7231,1.19008,392.752,120
0.0001,13,5,25.8462,1.35033,424.455,120
0.0001,13,9,26.3077,1.24341,425.704,120
0.0001,13,8,26.6077,1.51976,429.223,120
0.0001,20,6,26.3492,1.64311,441.614,120
0.0001,20,3,25.7215,26.201,449.49,120
0.0001,20,7,25.9938,1.21975,458.662,120
0.0001,20,2,25.4354,1.44456,461.375,120
0.0001,17,9,25.6385,1.08113,477.494,120
0.0001,17,4,26.4404,1.57271,483.558,120
0.0001,20,5,25.5092,1.17067,486.113,120
0.0001,20,4,25.9477,1.407,490.841,120
0.0001,17,6,26.3885,1.35078,493.213,120
0.0001,25,4,25.5076,1.31212,495.039,120
0.0001,20,9,26.1923,1.24537,499.755,120
0.0001,17,5,25.8462,1.5117,500.959,120
0.0001,17,7,25.8692,1.15843,528.427,120
0.0001,17,1,25.575,1.40734,546.838,120
0.0001,25,1,25.5038,1.6353,553.858,120
0.0001,25,5,25.5152,1.56674,555.037,120
0.0001,25,6,26.1494,1.71338,570.324,120
0.0001,20,8,26.3262,1.44892,587.578,120
0.0001,17,2,25.5692,1.15733,592.129,120
0.0001,17,8,26.7519,1.56062,597.239,120
0.0001,25,3,25.6633,1.56162,613.68,120
0.0001,25,7,26.2747,1.3727,616.597,120
0.0001,20,1,25.5046,1.60601,651.553,120
0.0001,20,0,25.5046,1.13223,654.21,120
0.0001,25,9,25.5418,1.41306,663.519,120
0.0001,30,5,25.4273,1.99737,678.296,120
0.0001,35,2,25.7625,1.81867,691.98,120
0.0001,25,8,26.1456,1.15155,708.552,120
0.0001,25,2,25.1848,2.02363,797.389,120
0.0001,35,8,26.0437,1.482,842.849,120
0.0001,35,4,25.6205,2.05675,843.009,120
0.0001,40,4,25.7432,1.53037,846.313,120
0.0001,35,1,25.2696,2.0002,849.194,120
0.0001,40,0,25.2864,1.75353,849.979,120
0.0001,35,7,25.8348,2.07578,853.239,120
0.0001,35,3,25.9393,1.81188,863.621,120
0.0001,30,1,25.5909,10.8856,878.749,120
0.0001,30,9,25.7242,1.27032,880.544,120
0.0001,35,6,26.242,1.57627,883.678,120
0.0001,40,8,25.8182,1.80321,885.722,120
0.0001,30,6,26.0788,1.53667,898.498,120
0.0001,30,3,25.8606,1.45017,908.161,120
0.0001,2,0,26.52,1.00617,920.369,120
0.0001,30,2,25.3576,1.66268,916.856,120
0.0001,30,8,26.1,48.5339,926.327,120
0.0001,40,1,25.5091,1.58662,925.267,120
0.0001,30,7,25.8364,2.17247,927.243,120
0.0001,30,0,25.2424,2.00511,929.19,120
0.0001,40,2,25.5045,1.51835,935.095,120
0.0001,40,9,25.6523,1.66939,936.131,120
0.0001,40,7,25.8477,1.74095,936.56,120
0.0001,40,6,26.0886,1.4029,956.379,120
0.0001,30,4,25.603,1.52181,988.833,120
0.0001,35,0,25.4973,1.63686,992.725,120
0.0001,35,5,25.6768,2.00875,994.289,120
0.0001,35,9,25.6446,1.53078,994.506,120
0.0001,40,5,25.575,2.24598,1002.84,120
0.0001,25,0,25.4734,1.39883,1008.59,120
0.0001,40,3,25.6182,1.76963,1031.31,120
