threshold,width,seed,readout_pos,prec_zone_width,time,num_threads
0.0001,2,58,28.14,0.868764,45.0976,120
0.0001,2,57,27.48,0.848437,52.5175,120
0.0001,2,53,28.08,1.01883,53.0094,120
0.0001,2,52,27.48,0.536254,57.8991,120
0.0001,2,56,27.78,0.719997,66.8569,120
0.0001,2,51,27.96,1.01508,68.2208,120
0.0001,2,54,27.78,0.868533,75.8573,120
0.0001,2,59,27.9,0.619659,76.1755,120
0.0001,2,55,28.74,0.408486,79.7869,120
0.0001,4,56,27.1,0.43403,97.0001,120
0.0001,4,57,26.6,0.74668,97.087,120
0.0001,4,52,26.9,0.692223,99.3493,120
0.0001,4,58,26.225,0.936726,100.496,120
0.0001,4,54,26.275,1.12217,108.257,120
0.0001,4,53,26.725,0.925163,108.389,120
0.0001,4,55,27.575,0.598196,114.269,120
0.0001,6,53,26.6526,0.562003,128.964,120
0.0001,6,57,26.8579,0.989407,134.667,120
0.0001,4,50,27.175,0.974837,146.674,120
0.0001,4,51,26.825,0.804565,146.865,120
0.0001,4,59,26.075,1.02546,157.499,120
0.0001,6,50,26.0211,0.499369,166.119,120
0.0001,8,57,26.556,1.21419,166.842,120
0.0001,6,56,26.3526,0.608652,174.865,120
0.0001,8,59,26.268,0.965986,188.9,120
0.0001,6,59,26.3526,1.26662,193.854,120
0.0001,6,52,26.5263,0.923503,195.62,120
0.0001,6,58,25.4211,0.971269,197.685,120
0.0001,8,55,27.18,0.890418,198.72,120
0.0001,8,52,26.256,0.779424,211.85,120
0.0001,10,52,26.1,1.07086,212.223,120
0.0001,6,51,26.8263,1.3469,213.752,120
0.0001,6,55,27.1579,0.928777,221.185,120
0.0001,6,54,25.9579,1.13693,224.838,120
0.0001,10,51,26.2219,1.04472,247.473,120
0.0001,8,56,26.016,1.4793,248.482,120
0.0001,10,56,26.1188,1.27946,249.735,120
0.0001,8,58,26.076,1.3056,251.482,120
0.0001,10,53,26.3719,1.12901,259.964,120
0.0001,10,57,26.2688,1.24006,261.352,120
0.0001,8,50,26.256,0.835657,277.151,120
0.0001,13,55,26.7923,1.17133,284.38,120
0.0001,13,59,26.2692,1.11088,287.031,120
0.0001,8,53,26.46,0.833508,288.072,120
0.0001,13,58,26.3308,1.19522,299.954,120
0.0001,10,59,26.1375,1.35122,305.247,120
0.0001,17,59,26.0019,1.45179,326.131,120
0.0001,8,51,26.076,1.40401,327.499,120
0.0001,8,54,25.644,1.36167,328.938,120
0.0001,10,54,25.3594,1.29698,343.209,120
0.0001,10,55,26.8031,1.22498,343.932,120
0.0001,10,50,25.8094,1.30497,344.602,120
0.0001,13,50,26.0231,1.06669,365.467,120
0.0001,20,50,25.9431,1.41,398.339,120
0.0001,20,55,26.2062,1.28766,400.929,120
0.0001,13,51,26.0385,1.20859,404.381,120
0.0001,17,51,25.9327,1.67971,404.744,120
0.0001,17,50,25.8404,1.21213,406.858,120
0.0001,13,57,26.1846,1.14395,407.544,120
0.0001,13,54,25.4231,1.0445,408.266,120
0.0001,13,53,26.4923,1.20759,412.076,120
0.0001,13,56,25.9846,1.41467,415.58,120
0.0001,17,58,26.0481,1.02576,421.701,120
0.0001,20,53,25.6477,1.16437,427.098,120
0.0001,13,52,26.1769,1.33293,443.35,120
0.0001,20,54,25.9615,1.35332,448.828,120
0.0001,17,55,26.5904,1.6319,455.835,120
0.0001,20,58,25.7308,1.18482,472.625,120
0.0001,17,56,25.5981,44.8881,479.77,120
0.0001,10,58,25.5281,0.961955,504.849,120
0.0001,17,52,26.1231,1.17677,527.794,120
0.0001,17,54,25.6731,1.26698,529.971,120
0.0001,17,53,26.1577,1.39406,534.276,120
0.0001,20,52,25.9569,1.53025,553.845,120
0.0001,20,51,26.0908,1.51254,594.391,120
0.0001,25,52,26.2481,1.48266,594.742,120
0.0001,20,57,25.8092,1.55445,597.236,120
0.0001,20,59,25.62,1.32672,603.839,120
0.0001,25,59,26.1456,1.26967,604.83,120
0.0001,17,57,26.0769,1.01718,617.993,120
0.0001,30,53,25.9667,1.3258,621.947,120
0.0001,30,50,25.8485,54.6012,631.131,120
0.0001,20,56,25.4631,1.46237,657.607,120
0.0001,30,57,25.5061,1.84194,679.843,120
0.0001,25,57,25.9101,1.64485,716.543,120
0.0001,25,54,25.9937,1.37045,718.092,120
0.0001,30,54,25.7939,1.59218,732.385,120
0.0001,30,56,25.7667,1.57581,738.558,120
0.0001,35,59,25.658,1.57916,756.47,120
0.0001,30,55,26.2667,2.06665,757.492,120
0.0001,2,50,27.66,0.187954,764.534,120
0.0001,35,58,25.6045,1.94847,764.594,120
0.0001,25,55,26.4342,1.44512,768.583,120
0.0001,25,53,25.819,1.63429,774.402,120
0.0001,25,58,25.8797,1.5509,780.311,120
0.0001,35,52,25.883,1.4332,797.66,120
0.0001,35,53,26.1964,1.70919,802.018,120
0.0001,25,56,25.5608,1.41397,805.059,120
0.0001,25,50,25.9519,1.23647,809.458,120
0.0001,35,55,26.3036,1.68553,809.672,120
0.0001,25,51,25.9975,1.44498,812.93,120
0.0001,40,55,26.0364,55.6096,820.706,120
0.0001,40,56,25.7727,1.80589,828.622,120
0.0001,40,51,25.6682,1.76796,829.378,120
0.0001,40,53,25.9205,46.0821,832.265,120
0.0001,40,52,26,1.62611,839.31,120
0.0001,40,50,26.0591,1.83454,839.545,120
0.0001,40,58,25.7591,1.96019,842.377,120
0.0001,30,58,25.6273,1.45986,861.983,120
0.0001,40,57,25.75,1.8079,862.349,120
0.0001,30,51,25.9576,1.90392,865.082,120
0.0001,35,51,25.7116,1.6124,872.394,120
0.0001,30,59,26.0212,1.80584,877.438,120
0.0001,35,54,25.4304,44.0969,877.336,120
0.0001,35,56,25.7223,1.58152,877.674,120
0.0001,30,52,25.8848,1.52692,895.527,120
0.0001,35,57,25.7679,1.93902,917.211,120
0.0001,35,50,25.8482,1.55855,921.281,120
0.0001,40,59,26.1682,1.64517,926.714,120
0.0001,40,54,25.5091,1.73984,927.324,120
